device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
0,,2023-05-28 10:52:47,0,49140,48176,964,455
0,,2023-05-28 10:52:48,0,49140,48176,964,455
0,,2023-05-28 10:52:49,0,49140,48176,964,455
0,,2023-05-28 10:52:50,0,49140,48176,964,455
0,,2023-05-28 10:52:51,0,49140,48176,964,455
0,,2023-05-28 10:52:52,0,49140,48176,964,455
0,,2023-05-28 10:52:53,0,49140,48176,964,455
0,,2023-05-28 10:52:54,0,49140,48176,964,455
0,,2023-05-28 10:52:55,0,49140,48176,964,455
0,,2023-05-28 10:52:56,0,49140,48176,964,455
0,,2023-05-28 10:52:57,0,49140,48176,964,455
0,,2023-05-28 10:52:58,0,49140,48176,964,455
0,,2023-05-28 10:52:59,0,49140,48176,964,455
0,,2023-05-28 10:53:00,0,49140,48176,964,455
0,,2023-05-28 10:53:01,6,49140,47610,1530,455
0,,2023-05-28 10:53:02,0,49140,47608,1532,455
0,,2023-05-28 10:53:03,0,49140,47608,1532,455
0,,2023-05-28 10:53:04,0,49140,47608,1532,455
0,,2023-05-28 10:53:05,0,49140,47580,1560,455
0,,2023-05-28 10:53:06,1,49140,47580,1560,455
0,,2023-05-28 10:53:07,0,49140,47578,1562,455
0,,2023-05-28 10:53:08,0,49140,47578,1562,455
0,,2023-05-28 10:53:09,0,49140,47578,1562,455
0,,2023-05-28 10:53:10,0,49140,47578,1562,455
0,,2023-05-28 10:53:11,0,49140,47578,1562,455
0,,2023-05-28 10:53:12,0,49140,47578,1562,455
0,,2023-05-28 10:53:13,0,49140,47578,1562,455
0,,2023-05-28 10:53:14,0,49140,47578,1562,455
0,,2023-05-28 10:53:15,0,49140,47570,1570,455
0,,2023-05-28 10:53:16,0,49140,47570,1570,455
0,,2023-05-28 10:53:17,0,49140,47570,1570,455
0,,2023-05-28 10:53:18,0,49140,47568,1572,455
0,,2023-05-28 10:53:19,0,49140,47568,1572,455
0,,2023-05-28 10:53:20,2,49140,47568,1572,455
0,,2023-05-28 10:53:21,0,49140,47320,1820,455
0,,2023-05-28 10:53:22,1,49140,47312,1828,455
0,,2023-05-28 10:53:23,7,49140,47304,1836,455
0,,2023-05-28 10:53:24,7,49140,47084,2056,455
0,,2023-05-28 10:53:25,30,49140,46704,2436,455
0,,2023-05-28 10:53:26,49,49140,44866,4274,455
0,,2023-05-28 10:53:27,0,49140,44856,4284,455
0,,2023-05-28 10:53:28,0,49140,44856,4284,455
0,,2023-05-28 10:53:29,33,49140,46074,3066,455
0,,2023-05-28 10:53:30,0,49140,45872,3268,455
0,,2023-05-28 10:53:31,25,49140,45320,3820,455
0,,2023-05-28 10:53:32,0,49140,45642,3498,455
0,,2023-05-28 10:53:33,0,49140,45642,3498,455
0,,2023-05-28 10:53:34,0,49140,45642,3498,455
0,,2023-05-28 10:53:35,1,49140,45708,3432,455
0,,2023-05-28 10:53:36,0,49140,45708,3432,455
