device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB),cupy memory (MB)
1,,2023-05-31 16:37:56,0,81920,80403,1517,820,0
1,,2023-05-31 16:37:57,0,81920,80403,1517,820,0
1,,2023-05-31 16:37:58,0,81920,80403,1517,820,0
1,,2023-05-31 16:37:59,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:00,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:01,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:02,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:03,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:04,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:05,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:06,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:07,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:08,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:09,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:10,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:11,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:12,0,81920,80403,1517,820,0
1,,2023-05-31 16:38:13,0,81920,80391,1529,820,0
1,,2023-05-31 16:38:14,0,81920,79197,2723,820,0
1,,2023-05-31 16:38:15,0,81920,78597,3323,820,0
1,,2023-05-31 16:38:16,0,81920,78197,3723,820,0
1,,2023-05-31 16:38:17,0,81920,78173,3747,820,0
1,,2023-05-31 16:38:18,0,81920,78173,3747,820,0
1,,2023-05-31 16:38:19,0,81920,78173,3747,820,0
1,,2023-05-31 16:38:20,0,81920,77925,3995,820,0
1,,2023-05-31 16:38:21,0,81920,77931,3989,820,0
1,,2023-05-31 16:38:22,0,81920,77931,3989,820,0
1,,2023-05-31 16:38:23,0,81920,75825,6095,820,0
1,,2023-05-31 16:38:24,0,81920,77269,4651,820,0
1,,2023-05-31 16:38:25,0,81920,77269,4651,820,0
1,,2023-05-31 16:38:26,0,81920,77269,4651,820,0
1,,2023-05-31 16:38:27,0,81920,77269,4651,820,0
1,,2023-05-31 16:38:28,0,81920,76979,4941,820,0
1,,2023-05-31 16:38:29,0,81920,76655,5265,820,17
1,,2023-05-31 16:38:30,0,81920,75441,6479,820,0
1,,2023-05-31 16:38:31,0,81920,74229,7691,820,0
1,,2023-05-31 16:38:32,0,81920,74229,7691,820,0
1,,2023-05-31 16:38:33,0,81920,74229,7691,820,0
1,,2023-05-31 16:38:34,0,81920,74229,7691,820,0
1,,2023-05-31 16:38:35,0,81920,74225,7695,820,0
1,,2023-05-31 16:38:36,0,81920,74683,7237,820,0
1,,2023-05-31 16:38:37,0,81920,74315,7605,820,0
1,,2023-05-31 16:38:38,0,81920,74315,7605,820,0
1,,2023-05-31 16:38:39,0,81920,74315,7605,820,0
1,,2023-05-31 16:38:40,0,81920,74369,7551,820,0
1,,2023-05-31 16:38:41,0,81920,74375,7545,820,0
1,,2023-05-31 16:38:42,0,81920,74049,7871,820,0
1,,2023-05-31 16:38:43,0,81920,74049,7871,820,0
1,,2023-05-31 16:38:44,0,81920,74049,7871,820,0
1,,2023-05-31 16:38:45,0,81920,74069,7851,820,16
1,,2023-05-31 16:38:46,0,81920,72665,9255,820,0
1,,2023-05-31 16:38:47,0,81920,74025,7895,820,0
1,,2023-05-31 16:38:48,0,81920,74183,7737,820,0
1,,2023-05-31 16:38:49,0,81920,72827,9093,820,0
1,,2023-05-31 16:38:50,0,81920,74025,7895,820,0
1,,2023-05-31 16:38:51,0,81920,74025,7895,820,0
1,,2023-05-31 16:38:52,0,81920,74025,7895,820,0
1,,2023-05-31 16:38:53,0,81920,74025,7895,820,0
1,,2023-05-31 16:38:54,0,81920,74189,7731,820,0
1,,2023-05-31 16:38:55,0,81920,73983,7937,820,0
1,,2023-05-31 16:38:56,0,81920,73983,7937,820,0
1,,2023-05-31 16:38:57,0,81920,74147,7773,820,0
1,,2023-05-31 16:38:58,0,81920,73983,7937,820,0
1,,2023-05-31 16:38:59,0,81920,73983,7937,820,0
1,,2023-05-31 16:39:00,0,81920,73983,7937,820,0
1,,2023-05-31 16:39:01,0,81920,73983,7937,820,0
1,,2023-05-31 16:39:02,0,81920,73335,8585,820,0
1,,2023-05-31 16:39:03,0,81920,74187,7733,820,0
1,,2023-05-31 16:39:04,0,81920,73949,7971,820,0
1,,2023-05-31 16:39:05,0,81920,73949,7971,820,0
1,,2023-05-31 16:39:06,0,81920,73949,7971,820,0
1,,2023-05-31 16:39:07,0,81920,74155,7765,820,0
1,,2023-05-31 16:39:08,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:09,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:10,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:11,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:12,0,81920,73541,8379,820,0
1,,2023-05-31 16:39:13,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:14,0,81920,74349,7571,820,0
1,,2023-05-31 16:39:15,0,81920,74109,7811,820,0
1,,2023-05-31 16:39:16,0,81920,74109,7811,820,0
1,,2023-05-31 16:39:17,0,81920,74109,7811,820,0
1,,2023-05-31 16:39:18,0,81920,74183,7737,820,0
1,,2023-05-31 16:39:19,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:20,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:21,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:22,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:23,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:24,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:25,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:26,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:27,0,81920,74187,7733,820,0
1,,2023-05-31 16:39:28,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:29,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:30,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:31,0,81920,74183,7737,820,0
1,,2023-05-31 16:39:32,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:33,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:34,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:35,0,81920,74141,7779,820,0
1,,2023-05-31 16:39:36,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:37,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:38,0,81920,74023,7897,820,0
1,,2023-05-31 16:39:39,0,81920,74185,7735,820,0
1,,2023-05-31 16:39:40,0,81920,73861,8059,820,0
1,,2023-05-31 16:39:41,0,81920,73861,8059,820,0
1,,2023-05-31 16:39:42,0,81920,73861,8059,820,0
1,,2023-05-31 16:39:43,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:44,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:45,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:46,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:47,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:48,0,81920,74045,7875,820,0
1,,2023-05-31 16:39:49,0,81920,74143,7777,820,0
1,,2023-05-31 16:39:50,0,81920,74143,7777,820,0
1,,2023-05-31 16:39:51,0,81920,73817,8103,820,0
1,,2023-05-31 16:39:52,0,81920,73817,8103,820,0
1,,2023-05-31 16:39:53,0,81920,73817,8103,820,0
1,,2023-05-31 16:39:54,0,81920,73817,8103,820,0
1,,2023-05-31 16:39:55,0,81920,73817,8103,820,0
1,,2023-05-31 16:39:56,0,81920,73819,8101,820,0
1,,2023-05-31 16:39:57,0,81920,74185,7735,820,8
1,,2023-05-31 16:39:58,0,81920,74043,7877,820,0
1,,2023-05-31 16:39:59,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:00,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:01,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:02,0,81920,74143,7777,820,0
1,,2023-05-31 16:40:03,0,81920,74143,7777,820,0
1,,2023-05-31 16:40:04,0,81920,73817,8103,820,0
1,,2023-05-31 16:40:05,0,81920,73817,8103,820,0
1,,2023-05-31 16:40:06,0,81920,73817,8103,820,0
1,,2023-05-31 16:40:07,0,81920,73817,8103,820,0
1,,2023-05-31 16:40:08,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:09,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:10,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:11,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:13,0,81920,73981,7939,820,0
1,,2023-05-31 16:40:14,0,81920,73817,8103,820,0
1,,2023-05-31 16:40:15,0,81920,73559,8361,820,0
1,,2023-05-31 16:40:16,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:17,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:18,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:19,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:20,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:21,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:22,0,81920,74143,7777,820,0
1,,2023-05-31 16:40:23,0,81920,74021,7899,820,0
1,,2023-05-31 16:40:24,0,81920,74021,7899,820,0
1,,2023-05-31 16:40:25,0,81920,74021,7899,820,0
1,,2023-05-31 16:40:26,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:27,0,81920,74183,7737,820,0
1,,2023-05-31 16:40:28,0,81920,74043,7877,820,0
1,,2023-05-31 16:40:29,0,81920,74141,7779,658,0
1,,2023-05-31 16:40:30,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:31,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:32,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:33,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:34,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:35,0,81920,74185,7735,820,0
1,,2023-05-31 16:40:36,0,81920,74023,7897,820,0
1,,2023-05-31 16:40:37,0,81920,73763,8157,820,0
1,,2023-05-31 16:40:38,0,81920,74023,7897,820,0
1,,2023-05-31 16:40:39,0,81920,74023,7897,820,0
1,,2023-05-31 16:40:40,0,81920,74183,7737,820,0
1,,2023-05-31 16:40:41,0,81920,73767,8153,820,0
1,,2023-05-31 16:40:42,0,81920,73767,8153,820,0
1,,2023-05-31 16:40:43,0,81920,73767,8153,820,0
1,,2023-05-31 16:40:44,0,81920,73767,8153,820,0
1,,2023-05-31 16:40:45,0,81920,73767,8153,820,0
1,,2023-05-31 16:40:46,0,81920,73929,7991,820,0
1,,2023-05-31 16:40:47,0,81920,73381,8539,820,0
1,,2023-05-31 16:40:48,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:49,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:50,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:51,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:52,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:53,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:54,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:55,0,81920,73725,8195,820,0
1,,2023-05-31 16:40:56,0,81920,73885,8035,820,0
1,,2023-05-31 16:40:57,0,81920,73819,8101,820,0
1,,2023-05-31 16:40:58,0,81920,73819,8101,820,0
1,,2023-05-31 16:40:59,0,81920,73819,8101,820,0
1,,2023-05-31 16:41:00,0,81920,73819,8101,820,0
1,,2023-05-31 16:41:01,0,81920,73819,8101,820,0
1,,2023-05-31 16:41:02,0,81920,72225,9695,820,0
1,,2023-05-31 16:41:03,0,81920,73583,8337,820,0
1,,2023-05-31 16:41:04,0,81920,74023,7897,820,8
1,,2023-05-31 16:41:05,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:06,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:07,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:08,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:09,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:10,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:11,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:12,0,81920,73697,8223,820,0
1,,2023-05-31 16:41:13,0,81920,73697,8223,820,0
1,,2023-05-31 16:41:14,0,81920,73697,8223,820,0
1,,2023-05-31 16:41:15,0,81920,73697,8223,820,0
1,,2023-05-31 16:41:16,0,81920,74185,7735,820,0
1,,2023-05-31 16:41:17,0,81920,73847,8073,820,0
1,,2023-05-31 16:41:18,0,81920,73847,8073,820,0
1,,2023-05-31 16:41:19,0,81920,73847,8073,820,0
1,,2023-05-31 16:41:20,0,81920,73847,8073,820,0
1,,2023-05-31 16:41:21,0,81920,73847,8073,820,0
1,,2023-05-31 16:41:22,0,81920,73905,8015,820,0
1,,2023-05-31 16:41:23,0,81920,73515,8405,820,0
1,,2023-05-31 16:41:24,0,81920,73745,8175,820,0
1,,2023-05-31 16:41:25,0,81920,73745,8175,820,0
1,,2023-05-31 16:41:26,0,81920,74167,7753,820,0
1,,2023-05-31 16:41:27,0,81920,74183,7737,820,0
1,,2023-05-31 16:41:28,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:29,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:30,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:31,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:32,0,81920,74143,7777,820,16
1,,2023-05-31 16:41:33,0,81920,74143,7777,820,0
1,,2023-05-31 16:41:34,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:35,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:36,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:37,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:38,0,81920,74183,7737,820,0
1,,2023-05-31 16:41:39,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:40,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:41,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:42,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:43,0,81920,74057,7863,820,0
1,,2023-05-31 16:41:44,0,81920,74011,7909,820,0
1,,2023-05-31 16:41:45,0,81920,74011,7909,820,0
1,,2023-05-31 16:41:46,0,81920,74011,7909,820,0
1,,2023-05-31 16:41:47,0,81920,74011,7909,820,0
1,,2023-05-31 16:41:48,0,81920,74011,7909,820,0
1,,2023-05-31 16:41:49,0,81920,74185,7735,820,0
1,,2023-05-31 16:41:50,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:51,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:52,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:53,0,81920,73861,8059,820,0
1,,2023-05-31 16:41:54,0,81920,74023,7897,820,0
1,,2023-05-31 16:41:55,0,81920,73883,8037,820,0
1,,2023-05-31 16:41:56,0,81920,73979,7941,820,0
1,,2023-05-31 16:41:57,0,81920,73981,7939,820,0
1,,2023-05-31 16:41:58,0,81920,73819,8101,820,0
1,,2023-05-31 16:41:59,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:00,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:01,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:02,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:03,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:04,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:05,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:06,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:07,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:08,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:09,0,81920,73551,8369,820,0
1,,2023-05-31 16:42:10,0,81920,73711,8209,820,0
1,,2023-05-31 16:42:11,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:12,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:13,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:14,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:15,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:16,0,81920,72129,9791,820,0
1,,2023-05-31 16:42:17,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:18,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:19,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:20,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:21,0,81920,73777,8143,820,0
1,,2023-05-31 16:42:22,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:23,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:24,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:25,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:26,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:27,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:28,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:29,0,81920,73777,8143,820,0
1,,2023-05-31 16:42:30,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:31,0,81920,73979,7941,820,0
1,,2023-05-31 16:42:32,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:33,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:34,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:35,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:36,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:37,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:38,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:39,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:40,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:41,0,81920,73679,8241,820,0
1,,2023-05-31 16:42:42,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:43,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:44,0,81920,73981,7939,820,0
1,,2023-05-31 16:42:45,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:46,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:47,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:48,0,81920,73819,8101,820,0
1,,2023-05-31 16:42:49,0,81920,73819,8101,820,0
