device,context,time,gpu util (%),memory util (%),total memory (MB),free memory (MB),used memory (MB),memory reserved by torch (MB),cupy memory (MB)
0,,2023-06-03 19:18:34,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:35,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:36,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:37,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:38,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:39,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:40,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:41,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:42,0.00,0.00,49140,47738,1402,138,0
0,,2023-06-03 19:18:43,0.00,0.00,49140,47234,1906,138,0
0,,2023-06-03 19:18:44,0.01,0.00,49140,46120,3020,138,0
0,,2023-06-03 19:18:45,0.01,0.00,49140,45846,3294,138,0
0,,2023-06-03 19:18:46,0.00,0.00,49140,45590,3550,382,0
0,,2023-06-03 19:18:47,0.11,0.01,49140,45344,3796,382,0
0,,2023-06-03 19:18:48,0.03,0.00,49140,45104,4036,382,0
0,,2023-06-03 19:18:49,0.07,0.01,49140,44964,4176,382,16
0,,2023-06-03 19:18:50,0.27,0.12,49140,44620,4520,718,0
0,,2023-06-03 19:18:51,0.28,0.12,49140,42938,6202,2400,0
0,,2023-06-03 19:18:52,0.43,0.13,49140,43650,5490,1636,24
0,,2023-06-03 19:18:53,0.22,0.10,49140,43650,5490,1636,0
0,,2023-06-03 19:18:54,0.57,0.39,49140,42456,6684,2022,0
0,,2023-06-03 19:18:55,0.01,0.00,49140,40840,8300,2022,0
0,,2023-06-03 19:18:56,0.00,0.00,49140,40840,8300,2022,0
0,,2023-06-03 19:18:57,0.29,0.13,49140,41226,7914,1636,0
0,,2023-06-03 19:18:58,0.25,0.11,49140,40188,8952,2674,0
0,,2023-06-03 19:18:59,0.02,0.00,49140,40970,8170,1892,0
0,,2023-06-03 19:19:00,0.28,0.12,49140,40968,8172,1894,0
0,,2023-06-03 19:19:01,0.28,0.12,49140,40964,8176,1898,0
0,,2023-06-03 19:19:02,0.04,0.00,49140,40808,8332,2054,0
0,,2023-06-03 19:19:03,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:04,0.26,0.12,49140,41064,8076,1798,0
0,,2023-06-03 19:19:05,0.04,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:19:06,0.36,0.17,49140,41064,8076,1798,0
0,,2023-06-03 19:19:07,0.28,0.13,49140,40806,8334,2056,0
0,,2023-06-03 19:19:08,0.55,0.34,49140,40678,8462,2184,0
0,,2023-06-03 19:19:09,0.29,0.12,49140,41064,8076,1798,0
0,,2023-06-03 19:19:10,0.27,0.12,49140,41064,8076,1798,0
0,,2023-06-03 19:19:11,0.41,0.25,49140,40806,8334,2056,0
0,,2023-06-03 19:19:12,0.26,0.10,49140,40806,8334,2056,0
0,,2023-06-03 19:19:13,0.33,0.17,49140,41064,8076,1798,0
0,,2023-06-03 19:19:14,0.40,0.28,49140,40678,8462,2184,0
0,,2023-06-03 19:19:15,0.02,0.00,49140,40678,8462,2184,0
0,,2023-06-03 19:19:16,0.36,0.17,49140,41064,8076,1798,0
0,,2023-06-03 19:19:17,0.56,0.28,49140,40292,8848,2570,0
0,,2023-06-03 19:19:18,0.09,0.02,49140,40678,8462,2184,0
0,,2023-06-03 19:19:19,0.28,0.13,49140,41064,8076,1798,0
0,,2023-06-03 19:19:20,0.16,0.02,49140,40806,8334,2056,0
0,,2023-06-03 19:19:21,0.27,0.12,49140,41064,8076,1798,0
0,,2023-06-03 19:19:22,0.37,0.17,49140,41058,8082,1804,0
0,,2023-06-03 19:19:23,0.02,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:19:24,0.37,0.18,49140,41064,8076,1798,0
0,,2023-06-03 19:19:25,0.26,0.12,49140,41064,8076,1798,0
0,,2023-06-03 19:19:26,0.01,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:19:27,0.36,0.17,49140,41064,8076,1798,0
0,,2023-06-03 19:19:28,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:29,0.00,0.00,49140,40422,8718,2440,0
0,,2023-06-03 19:19:30,0.22,0.09,49140,40422,8718,2440,0
0,,2023-06-03 19:19:31,0.00,0.00,49140,40422,8718,2440,0
0,,2023-06-03 19:19:32,0.44,0.21,49140,40802,8338,2060,0
0,,2023-06-03 19:19:33,0.23,0.11,49140,40552,8588,2310,0
0,,2023-06-03 19:19:34,0.06,0.00,49140,40486,8654,2376,0
0,,2023-06-03 19:19:35,0.07,0.01,49140,41058,8082,1804,0
0,,2023-06-03 19:19:36,0.40,0.17,49140,40808,8332,2054,0
0,,2023-06-03 19:19:37,0.39,0.28,49140,40422,8718,2440,0
0,,2023-06-03 19:19:38,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:39,0.27,0.12,49140,40804,8336,2058,0
0,,2023-06-03 19:19:41,0.02,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:19:42,0.38,0.17,49140,41062,8078,1800,0
0,,2023-06-03 19:19:43,0.37,0.19,49140,40120,9020,2742,0
0,,2023-06-03 19:19:44,0.01,0.00,49140,40678,8462,2184,0
0,,2023-06-03 19:19:45,0.47,0.23,49140,41062,8078,1800,0
0,,2023-06-03 19:19:46,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:47,0.02,0.00,49140,40646,8494,2216,0
0,,2023-06-03 19:19:48,0.26,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:49,0.27,0.13,49140,40802,8338,2060,0
0,,2023-06-03 19:19:50,0.16,0.01,49140,40388,8752,2474,0
0,,2023-06-03 19:19:51,0.26,0.12,49140,40646,8494,2216,0
0,,2023-06-03 19:19:52,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:53,0.00,0.00,49140,40808,8332,2054,0
0,,2023-06-03 19:19:54,0.24,0.03,49140,40808,8332,2054,0
0,,2023-06-03 19:19:55,0.00,0.00,49140,40808,8332,2054,0
0,,2023-06-03 19:19:56,0.26,0.12,49140,40802,8338,2060,0
0,,2023-06-03 19:19:57,0.26,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:19:58,0.36,0.22,49140,40422,8718,2440,0
0,,2023-06-03 19:19:59,0.37,0.17,49140,40804,8336,2058,0
0,,2023-06-03 19:20:00,0.31,0.14,49140,40808,8332,2054,0
0,,2023-06-03 19:20:01,0.18,0.06,49140,40422,8718,2440,0
0,,2023-06-03 19:20:02,0.20,0.06,49140,40806,8334,2056,0
0,,2023-06-03 19:20:03,0.28,0.13,49140,40808,8332,2054,0
0,,2023-06-03 19:20:04,0.02,0.01,49140,40422,8718,2440,0
0,,2023-06-03 19:20:05,0.29,0.13,49140,40422,8718,2440,0
0,,2023-06-03 19:20:06,0.17,0.08,49140,40416,8724,2446,0
0,,2023-06-03 19:20:07,0.02,0.00,49140,40422,8718,2440,0
0,,2023-06-03 19:20:08,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:20:09,0.36,0.18,49140,40808,8332,2054,0
0,,2023-06-03 19:20:10,0.04,0.00,49140,40808,8332,2054,0
0,,2023-06-03 19:20:11,0.33,0.14,49140,40808,8332,2054,0
0,,2023-06-03 19:20:12,0.28,0.13,49140,40808,8332,2054,0
0,,2023-06-03 19:20:13,0.00,0.00,49140,40646,8494,2216,0
0,,2023-06-03 19:20:14,0.28,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:20:15,0.27,0.12,49140,40546,8594,2316,0
0,,2023-06-03 19:20:16,0.05,0.00,49140,40646,8494,2216,0
0,,2023-06-03 19:20:17,0.25,0.12,49140,40640,8500,2222,0
0,,2023-06-03 19:20:18,0.27,0.12,49140,40802,8338,2060,0
0,,2023-06-03 19:20:19,0.03,0.00,49140,40258,8882,2604,0
0,,2023-06-03 19:20:20,0.34,0.15,49140,40646,8494,2216,0
0,,2023-06-03 19:20:21,0.28,0.13,49140,40808,8332,2054,0
0,,2023-06-03 19:20:22,0.00,0.00,49140,40420,8720,2442,0
0,,2023-06-03 19:20:23,0.06,0.00,49140,40420,8720,2442,0
0,,2023-06-03 19:20:24,0.29,0.13,49140,40808,8332,2054,0
0,,2023-06-03 19:20:25,0.40,0.20,49140,40808,8332,2054,0
0,,2023-06-03 19:20:26,0.00,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:20:27,0.22,0.10,49140,40806,8334,2056,0
0,,2023-06-03 19:20:28,0.00,0.00,49140,40806,8334,2056,0
0,,2023-06-03 19:20:29,0.36,0.16,49140,40802,8338,2060,0
0,,2023-06-03 19:20:30,0.23,0.10,49140,40550,8590,2312,0
0,,2023-06-03 19:20:31,0.15,0.06,49140,40548,8592,2314,0
0,,2023-06-03 19:20:32,0.28,0.12,49140,40292,8848,2570,0
0,,2023-06-03 19:20:33,0.27,0.12,49140,40808,8332,2054,0
0,,2023-06-03 19:20:34,0.64,0.42,49140,40420,8720,2442,0
0,,2023-06-03 19:20:35,0.00,0.00,49140,40420,8720,2442,0
0,,2023-06-03 19:20:36,0.30,0.14,49140,40422,8718,2440,16
0,,2023-06-03 19:20:38,0.21,0.10,49140,40420,8720,2442,0
0,,2023-06-03 19:20:39,0.04,0.00,49140,40420,8720,2442,0
0,,2023-06-03 19:20:40,0.36,0.16,49140,40808,8332,2054,0
0,,2023-06-03 19:20:41,0.28,0.12,49140,40802,8338,2060,0
0,,2023-06-03 19:20:42,0.00,0.00,49140,40548,8592,2314,0
0,,2023-06-03 19:20:43,0.26,0.12,49140,40802,8338,2060,0
0,,2023-06-03 19:20:44,0.29,0.13,49140,40806,8334,2056,0
0,,2023-06-03 19:20:45,0.04,0.00,49140,40644,8496,2218,0
0,,2023-06-03 19:20:46,0.26,0.12,49140,40388,8752,2474,0
0,,2023-06-03 19:20:47,0.29,0.13,49140,40644,8496,2218,16
0,,2023-06-03 19:20:48,0.16,0.06,49140,40256,8884,2606,0
0,,2023-06-03 19:20:49,0.27,0.12,49140,40254,8886,2608,0
0,,2023-06-03 19:20:50,0.38,0.17,49140,40642,8498,2220,0
0,,2023-06-03 19:20:51,0.05,0.01,49140,40386,8754,2476,0
0,,2023-06-03 19:20:52,0.28,0.13,49140,40644,8496,2218,0
0,,2023-06-03 19:20:53,0.22,0.10,49140,40640,8500,2222,0
0,,2023-06-03 19:20:54,0.02,0.00,49140,40480,8660,2382,0
0,,2023-06-03 19:20:55,0.26,0.12,49140,40478,8662,2384,0
0,,2023-06-03 19:20:56,0.27,0.12,49140,40644,8496,2218,0
0,,2023-06-03 19:20:57,0.08,0.05,49140,40644,8496,2218,0
0,,2023-06-03 19:20:58,0.26,0.12,49140,40806,8334,2056,0
0,,2023-06-03 19:20:59,0.28,0.13,49140,40806,8334,2056,0
0,,2023-06-03 19:21:00,0.07,0.00,49140,40418,8722,2444,0
