device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
0,,2023-05-11 13:19:43,0,49140,48176,964,455
0,,2023-05-11 13:19:44,0,49140,48176,964,455
0,,2023-05-11 13:19:45,0,49140,48176,964,455
0,,2023-05-11 13:19:46,0,49140,48176,964,455
0,,2023-05-11 13:19:47,0,49140,48176,964,455
0,,2023-05-11 13:19:48,0,49140,48176,964,455
0,,2023-05-11 13:19:49,0,49140,48176,964,455
0,,2023-05-11 13:19:50,0,49140,48176,964,455
0,,2023-05-11 13:19:51,0,49140,48176,964,455
0,,2023-05-11 13:19:52,0,49140,48176,964,455
0,,2023-05-11 13:19:53,0,49140,48176,964,455
0,,2023-05-11 13:19:54,0,49140,48176,964,455
0,,2023-05-11 13:19:55,0,49140,48176,964,455
0,,2023-05-11 13:19:56,0,49140,48176,964,455
0,,2023-05-11 13:19:57,0,49140,48176,964,455
0,,2023-05-11 13:19:58,0,49140,48176,964,455
0,,2023-05-11 13:19:59,0,49140,48176,964,455
0,,2023-05-11 13:20:00,3,49140,47190,1950,455
0,,2023-05-11 13:20:01,1,49140,47064,2076,455
0,,2023-05-11 13:20:02,0,49140,47062,2078,455
0,,2023-05-11 13:20:03,0,49140,47062,2078,455
0,,2023-05-11 13:20:04,0,49140,47062,2078,455
0,,2023-05-11 13:20:05,2,49140,47028,2112,455
0,,2023-05-11 13:20:06,0,49140,47010,2130,455
0,,2023-05-11 13:20:07,0,49140,46658,2482,455
0,,2023-05-11 13:20:08,5,49140,46520,2620,455
0,,2023-05-11 13:20:09,0,49140,45428,3712,455
0,,2023-05-11 13:20:10,23,49140,45034,4106,455
0,,2023-05-11 13:20:11,12,49140,45034,4106,455
0,,2023-05-11 13:20:12,0,49140,44084,5056,455
0,,2023-05-11 13:20:13,24,49140,43554,5586,455
0,,2023-05-11 13:20:14,23,49140,43554,5586,455
0,,2023-05-11 13:20:15,22,49140,43292,5848,455
0,,2023-05-11 13:20:16,22,49140,43092,6048,455
0,,2023-05-11 13:20:17,63,49140,42964,6176,455
0,,2023-05-11 13:20:18,22,49140,42964,6176,455
0,,2023-05-11 13:20:19,12,49140,42964,6176,455
0,,2023-05-11 13:20:20,0,49140,43016,6124,455
0,,2023-05-11 13:20:21,2,49140,43016,6124,455
0,,2023-05-11 13:20:22,0,49140,43016,6124,455
0,,2023-05-11 13:20:23,23,49140,43016,6124,455
0,,2023-05-11 13:20:24,23,49140,43016,6124,455
0,,2023-05-11 13:20:25,22,49140,43144,5996,455
0,,2023-05-11 13:20:26,22,49140,43144,5996,455
0,,2023-05-11 13:20:27,4,49140,42996,6144,455
0,,2023-05-11 13:20:28,1,49140,42996,6144,455
0,,2023-05-11 13:20:29,46,49140,42996,6144,455
0,,2023-05-11 13:20:30,45,49140,42994,6146,455
0,,2023-05-11 13:20:31,23,49140,42994,6146,455
0,,2023-05-11 13:20:32,0,49140,42994,6146,455
0,,2023-05-11 13:20:33,0,49140,42994,6146,455
0,,2023-05-11 13:20:34,1,49140,42994,6146,455
0,,2023-05-11 13:20:35,24,49140,42634,6506,455
0,,2023-05-11 13:20:36,39,49140,42634,6506,455
0,,2023-05-11 13:20:37,0,49140,42634,6506,455
0,,2023-05-11 13:20:38,0,49140,42634,6506,455
0,,2023-05-11 13:20:39,0,49140,42634,6506,455
0,,2023-05-11 13:20:40,0,49140,42634,6506,455
0,,2023-05-11 13:20:41,0,49140,42634,6506,455
0,,2023-05-11 13:20:42,0,49140,42634,6506,455
0,,2023-05-11 13:20:43,23,49140,42634,6506,455
0,,2023-05-11 13:20:44,5,49140,42634,6506,455
0,,2023-05-11 13:20:45,43,49140,42674,6466,455
0,,2023-05-11 13:20:46,22,49140,42674,6466,455
0,,2023-05-11 13:20:47,38,49140,44960,4180,455
0,,2023-05-11 13:20:48,0,49140,42656,6484,455
0,,2023-05-11 13:20:49,0,49140,42656,6484,455
0,,2023-05-11 13:20:50,23,49140,42656,6484,455
0,,2023-05-11 13:20:51,11,49140,42656,6484,455
0,,2023-05-11 13:20:52,12,49140,42492,6648,455
0,,2023-05-11 13:20:53,23,49140,42492,6648,455
0,,2023-05-11 13:20:54,76,49140,42154,6986,455
0,,2023-05-11 13:20:55,0,49140,42154,6986,455
0,,2023-05-11 13:20:56,0,49140,42154,6986,455
0,,2023-05-11 13:20:57,0,49140,42154,6986,455
0,,2023-05-11 13:20:58,0,49140,42154,6986,455
0,,2023-05-11 13:20:59,22,49140,42154,6986,455
0,,2023-05-11 13:21:00,25,49140,42154,6986,455
0,,2023-05-11 13:21:01,41,49140,42316,6824,455
0,,2023-05-11 13:21:02,0,49140,42314,6826,455
0,,2023-05-11 13:21:03,20,49140,42314,6826,455
0,,2023-05-11 13:21:04,23,49140,42314,6826,455
0,,2023-05-11 13:21:05,33,49140,42444,6696,455
0,,2023-05-11 13:21:06,22,49140,42072,7068,455
0,,2023-05-11 13:21:07,18,49140,42072,7068,455
0,,2023-05-11 13:21:08,23,49140,42072,7068,455
0,,2023-05-11 13:21:09,0,49140,41944,7196,455
0,,2023-05-11 13:21:10,0,49140,41944,7196,455
0,,2023-05-11 13:21:11,0,49140,41944,7196,455
0,,2023-05-11 13:21:12,0,49140,41944,7196,455
0,,2023-05-11 13:21:13,0,49140,41944,7196,455
0,,2023-05-11 13:21:14,0,49140,41944,7196,455
0,,2023-05-11 13:21:15,14,49140,41944,7196,455
0,,2023-05-11 13:21:16,18,49140,41944,7196,455
0,,2023-05-11 13:21:17,22,49140,41944,7196,455
0,,2023-05-11 13:21:18,24,49140,41944,7196,455
0,,2023-05-11 13:21:19,22,49140,41944,7196,455
0,,2023-05-11 13:21:20,18,49140,41902,7238,455
0,,2023-05-11 13:21:21,24,49140,41902,7238,455
0,,2023-05-11 13:21:22,24,49140,41902,7238,455
0,,2023-05-11 13:21:23,24,49140,41794,7346,455
0,,2023-05-11 13:21:24,23,49140,41794,7346,455
0,,2023-05-11 13:21:25,16,49140,42544,6596,455
0,,2023-05-11 13:21:26,0,49140,43564,5576,455
0,,2023-05-11 13:21:27,0,49140,44520,4620,455
0,,2023-05-11 13:21:28,0,49140,44520,4620,455
0,,2023-05-11 13:21:29,0,49140,44520,4620,455
0,,2023-05-11 13:21:30,0,49140,44520,4620,455
0,,2023-05-11 13:21:31,0,49140,44520,4620,455
0,,2023-05-11 13:21:32,0,49140,44520,4620,455
0,,2023-05-11 13:21:33,0,49140,44520,4620,455
0,,2023-05-11 13:21:34,0,49140,44520,4620,455
0,,2023-05-11 13:21:35,0,49140,44520,4620,455
0,,2023-05-11 13:21:36,0,49140,44520,4620,455
0,,2023-05-11 13:21:37,0,49140,44520,4620,455
0,,2023-05-11 13:21:38,0,49140,44520,4620,455
0,,2023-05-11 13:21:39,0,49140,44520,4620,455
0,,2023-05-11 13:21:40,0,49140,44520,4620,455
0,,2023-05-11 13:21:41,0,49140,44460,4680,455
0,,2023-05-11 13:21:42,2,49140,43472,5668,455
0,,2023-05-11 13:21:43,2,49140,43406,5734,455
0,,2023-05-11 13:21:44,0,49140,43406,5734,455
0,,2023-05-11 13:21:45,8,49140,43032,6108,455
0,,2023-05-11 13:21:46,10,49140,39790,9350,455
0,,2023-05-11 13:21:47,6,49140,37916,11224,455
0,,2023-05-11 13:21:48,0,49140,37916,11224,455
0,,2023-05-11 13:21:49,81,49140,36872,12268,455
0,,2023-05-11 13:21:50,77,49140,36872,12268,455
0,,2023-05-11 13:21:51,95,49140,36522,12618,455
0,,2023-05-11 13:21:52,13,49140,36174,12966,455
0,,2023-05-11 13:21:53,3,49140,33954,15186,455
0,,2023-05-11 13:21:54,12,49140,33084,16056,455
0,,2023-05-11 13:21:55,100,49140,32040,17100,455
0,,2023-05-11 13:21:56,100,49140,32040,17100,455
0,,2023-05-11 13:21:57,8,49140,32040,17100,455
0,,2023-05-11 13:21:58,15,49140,32040,17100,455
0,,2023-05-11 13:21:59,0,49140,32040,17100,455
0,,2023-05-11 13:22:00,100,49140,30996,18144,455
0,,2023-05-11 13:22:01,100,49140,30996,18144,455
