device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
1,,2023-05-12 12:17:31,0,81920,80403,1517,820
1,,2023-05-12 12:17:32,0,81920,80403,1517,820
1,,2023-05-12 12:17:33,0,81920,80403,1517,820
1,,2023-05-12 12:17:34,0,81920,80403,1517,820
1,,2023-05-12 12:17:35,0,81920,80403,1517,820
1,,2023-05-12 12:17:36,0,81920,80403,1517,820
1,,2023-05-12 12:17:37,0,81920,80403,1517,820
1,,2023-05-12 12:17:38,0,81920,80403,1517,820
1,,2023-05-12 12:17:39,0,81920,80403,1517,820
1,,2023-05-12 12:17:40,0,81920,80403,1517,820
1,,2023-05-12 12:17:41,0,81920,80403,1517,820
1,,2023-05-12 12:17:42,0,81920,80403,1517,820
1,,2023-05-12 12:17:43,0,81920,80403,1517,820
1,,2023-05-12 12:17:44,0,81920,80403,1517,820
1,,2023-05-12 12:17:45,0,81920,80403,1517,820
1,,2023-05-12 12:17:46,0,81920,80403,1517,820
1,,2023-05-12 12:17:47,0,81920,80403,1517,820
1,,2023-05-12 12:17:48,0,81920,80403,1517,820
1,,2023-05-12 12:17:49,0,81920,80403,1517,820
1,,2023-05-12 12:17:50,0,81920,80403,1517,820
1,,2023-05-12 12:17:51,0,81920,80403,1517,820
1,,2023-05-12 12:17:52,0,81920,80403,1517,820
1,,2023-05-12 12:17:53,0,81920,80403,1517,820
1,,2023-05-12 12:17:54,0,81920,80403,1517,820
1,,2023-05-12 12:17:55,0,81920,80403,1517,820
1,,2023-05-12 12:17:56,0,81920,80403,1517,820
1,,2023-05-12 12:17:57,0,81920,80403,1517,820
1,,2023-05-12 12:17:58,0,81920,80403,1517,820
1,,2023-05-12 12:17:59,0,81920,80403,1517,820
1,,2023-05-12 12:18:00,0,81920,80403,1517,820
1,,2023-05-12 12:18:01,0,81920,80403,1517,820
1,,2023-05-12 12:18:02,0,81920,80403,1517,820
1,,2023-05-12 12:18:03,0,81920,80403,1517,820
1,,2023-05-12 12:18:04,0,81920,80403,1517,820
1,,2023-05-12 12:18:05,0,81920,80403,1517,820
1,,2023-05-12 12:18:06,0,81920,80403,1517,820
1,,2023-05-12 12:18:07,0,81920,80403,1517,820
1,,2023-05-12 12:18:08,0,81920,80403,1517,820
1,,2023-05-12 12:18:09,0,81920,80403,1517,820
1,,2023-05-12 12:18:10,0,81920,80403,1517,820
1,,2023-05-12 12:18:11,0,81920,80403,1517,820
1,,2023-05-12 12:18:12,0,81920,80403,1517,820
1,,2023-05-12 12:18:13,0,81920,80403,1517,820
1,,2023-05-12 12:18:14,0,81920,80403,1517,820
1,,2023-05-12 12:18:15,0,81920,80403,1517,820
1,,2023-05-12 12:18:16,0,81920,80403,1517,820
1,,2023-05-12 12:18:17,0,81920,80403,1517,820
1,,2023-05-12 12:18:18,0,81920,80403,1517,820
1,,2023-05-12 12:18:19,0,81920,80403,1517,820
1,,2023-05-12 12:18:20,0,81920,80403,1517,820
1,,2023-05-12 12:18:21,0,81920,80403,1517,820
1,,2023-05-12 12:18:22,3,81920,80403,1517,820
1,,2023-05-12 12:18:23,0,81920,80403,1517,820
1,,2023-05-12 12:18:24,0,81920,80403,1517,820
1,,2023-05-12 12:18:25,0,81920,80403,1517,820
1,,2023-05-12 12:18:26,0,81920,80403,1517,820
1,,2023-05-12 12:18:27,0,81920,80403,1517,820
1,,2023-05-12 12:18:28,0,81920,80403,1517,820
1,,2023-05-12 12:18:29,0,81920,80403,1517,820
1,,2023-05-12 12:18:30,0,81920,80403,1517,820
1,,2023-05-12 12:18:31,0,81920,80403,1517,820
1,,2023-05-12 12:18:32,0,81920,80403,1517,820
1,,2023-05-12 12:18:33,0,81920,80403,1517,820
1,,2023-05-12 12:18:34,0,81920,80403,1517,820
1,,2023-05-12 12:18:35,0,81920,80403,1517,820
1,,2023-05-12 12:18:36,0,81920,80403,1517,820
1,,2023-05-12 12:18:37,0,81920,80403,1517,820
1,,2023-05-12 12:18:38,0,81920,80403,1517,820
1,,2023-05-12 12:18:39,0,81920,80403,1517,820
1,,2023-05-12 12:18:40,1,81920,80403,1517,820
1,,2023-05-12 12:18:41,1,81920,80403,1517,820
1,,2023-05-12 12:18:42,20,81920,80403,1517,820
1,,2023-05-12 12:18:43,1,81920,80403,1517,820
1,,2023-05-12 12:18:44,1,81920,80403,1517,820
1,,2023-05-12 12:18:45,21,81920,80403,1517,820
1,,2023-05-12 12:18:46,2,81920,80403,1517,820
1,,2023-05-12 12:18:47,1,81920,80403,1517,820
1,,2023-05-12 12:18:48,3,81920,80403,1517,820
1,,2023-05-12 12:18:49,0,81920,80403,1517,820
1,,2023-05-12 12:18:50,20,81920,80403,1517,820
1,,2023-05-12 12:18:51,1,81920,80403,1517,820
1,,2023-05-12 12:18:52,1,81920,80403,1517,820
1,,2023-05-12 12:18:53,8,81920,80403,1517,820
1,,2023-05-12 12:18:54,22,81920,80403,1517,820
1,,2023-05-12 12:18:55,22,81920,80403,1517,820
1,,2023-05-12 12:18:56,0,81920,80403,1517,820
1,,2023-05-12 12:18:57,0,81920,80403,1517,820
1,,2023-05-12 12:18:58,0,81920,80403,1517,820
1,,2023-05-12 12:18:59,0,81920,80403,1517,820
1,,2023-05-12 12:19:00,0,81920,80403,1517,820
1,,2023-05-12 12:19:01,0,81920,80403,1517,820
1,,2023-05-12 12:19:02,0,81920,80403,1517,820
1,,2023-05-12 12:19:03,0,81920,80403,1517,820
1,,2023-05-12 12:19:04,0,81920,80403,1517,820
1,,2023-05-12 12:19:05,0,81920,80403,1517,820
1,,2023-05-12 12:19:06,0,81920,80403,1517,820
1,,2023-05-12 12:19:07,0,81920,80403,1517,820
1,,2023-05-12 12:19:08,0,81920,80403,1517,820
1,,2023-05-12 12:19:09,1,81920,80403,1517,820
1,,2023-05-12 12:19:10,1,81920,80403,1517,820
1,,2023-05-12 12:19:11,21,81920,80403,1517,820
1,,2023-05-12 12:19:12,21,81920,80403,1517,820
1,,2023-05-12 12:19:13,70,81920,80403,1517,820
1,,2023-05-12 12:19:14,0,81920,80403,1517,820
1,,2023-05-12 12:19:15,0,81920,80403,1517,820
1,,2023-05-12 12:19:16,1,81920,80403,1517,820
1,,2023-05-12 12:19:17,1,81920,80403,1517,820
1,,2023-05-12 12:19:18,17,81920,80403,1517,820
1,,2023-05-12 12:19:19,21,81920,80403,1517,820
1,,2023-05-12 12:19:20,69,81920,80403,1517,820
1,,2023-05-12 12:19:21,0,81920,80403,1517,820
1,,2023-05-12 12:19:22,0,81920,80403,1517,820
1,,2023-05-12 12:19:23,0,81920,80403,1517,820
1,,2023-05-12 12:19:24,0,81920,80403,1517,820
1,,2023-05-12 12:19:25,0,81920,80403,1517,820
1,,2023-05-12 12:19:26,0,81920,80403,1517,820
1,,2023-05-12 12:19:27,0,81920,80403,1517,820
1,,2023-05-12 12:19:28,0,81920,80403,1517,820
1,,2023-05-12 12:19:29,0,81920,80403,1517,820
1,,2023-05-12 12:19:30,0,81920,80403,1517,820
1,,2023-05-12 12:19:31,0,81920,80403,1517,820
1,,2023-05-12 12:19:32,21,81920,80403,1517,820
1,,2023-05-12 12:19:33,1,81920,80403,1517,820
1,,2023-05-12 12:19:34,1,81920,80403,1517,820
1,,2023-05-12 12:19:35,21,81920,80403,1517,820
