device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
4,,2023-05-16 08:20:57,93,81920,80403,1517,820
4,,2023-05-16 08:20:58,95,81920,80403,1517,820
4,,2023-05-16 08:20:59,91,81920,80403,1517,820
4,,2023-05-16 08:21:00,93,81920,80403,1517,820
4,,2023-05-16 08:21:01,96,81920,80403,1517,820
4,,2023-05-16 08:21:02,95,81920,80403,1517,820
4,,2023-05-16 08:21:03,92,81920,80403,1517,820
4,,2023-05-16 08:21:04,90,81920,80403,1517,820
4,,2023-05-16 08:21:05,92,81920,80403,1517,820
4,,2023-05-16 08:21:06,95,81920,80403,1517,820
4,,2023-05-16 08:21:07,96,81920,80403,1517,820
4,,2023-05-16 08:21:08,96,81920,80403,1517,820
4,,2023-05-16 08:21:09,100,81920,80403,1517,820
4,,2023-05-16 08:21:10,100,81920,80403,1517,820
4,,2023-05-16 08:21:11,100,81920,80391,1529,820
4,,2023-05-16 08:21:12,100,81920,78907,3013,820
4,,2023-05-16 08:21:13,100,81920,78899,3021,820
4,,2023-05-16 08:21:14,100,81920,78899,3021,820
4,,2023-05-16 08:21:15,100,81920,78899,3021,820
4,,2023-05-16 08:21:16,92,81920,78843,3077,820
4,,2023-05-16 08:21:17,93,81920,78823,3097,820
4,,2023-05-16 08:21:18,91,81920,78403,3517,820
4,,2023-05-16 08:21:19,98,81920,78391,3529,820
4,,2023-05-16 08:21:20,100,81920,77179,4741,820
4,,2023-05-16 08:21:21,100,81920,76775,5145,820
4,,2023-05-16 08:21:22,100,81920,76775,5145,820
4,,2023-05-16 08:21:23,100,81920,75573,6347,820
4,,2023-05-16 08:21:24,100,81920,74485,7435,820
4,,2023-05-16 08:21:25,100,81920,73657,8263,820
4,,2023-05-16 08:21:26,100,81920,73657,8263,820
4,,2023-05-16 08:21:27,94,81920,73655,8265,820
4,,2023-05-16 08:21:28,91,81920,73655,8265,820
4,,2023-05-16 08:21:29,91,81920,73655,8265,820
4,,2023-05-16 08:21:30,93,81920,73655,8265,820
4,,2023-05-16 08:21:31,91,81920,73655,8265,820
4,,2023-05-16 08:21:32,93,81920,73623,8297,820
4,,2023-05-16 08:21:33,93,81920,73623,8297,820
4,,2023-05-16 08:21:34,93,81920,74545,7375,820
4,,2023-05-16 08:21:35,93,81920,73469,8451,820
4,,2023-05-16 08:21:36,93,81920,73469,8451,820
4,,2023-05-16 08:21:37,92,81920,73599,8321,820
4,,2023-05-16 08:21:38,100,81920,73599,8321,820
4,,2023-05-16 08:21:39,100,81920,73929,7991,820
4,,2023-05-16 08:21:40,100,81920,73929,7991,820
4,,2023-05-16 08:21:41,100,81920,73929,7991,820
4,,2023-05-16 08:21:42,95,81920,73929,7991,820
4,,2023-05-16 08:21:43,95,81920,73929,7991,820
4,,2023-05-16 08:21:44,96,81920,73639,8281,820
4,,2023-05-16 08:21:45,95,81920,73639,8281,820
4,,2023-05-16 08:21:46,96,81920,73655,8265,820
4,,2023-05-16 08:21:47,96,81920,73655,8265,820
4,,2023-05-16 08:21:48,94,81920,73291,8629,820
4,,2023-05-16 08:21:49,93,81920,73291,8629,820
4,,2023-05-16 08:21:50,92,81920,73693,8227,820
4,,2023-05-16 08:21:51,94,81920,73365,8555,820
4,,2023-05-16 08:21:52,100,81920,73365,8555,820
4,,2023-05-16 08:21:53,100,81920,72801,9119,820
4,,2023-05-16 08:21:54,100,81920,72801,9119,820
4,,2023-05-16 08:21:55,100,81920,73065,8855,820
4,,2023-05-16 08:21:56,100,81920,73065,8855,820
4,,2023-05-16 08:21:57,100,81920,73065,8855,820
4,,2023-05-16 08:21:58,97,81920,73065,8855,820
4,,2023-05-16 08:21:59,92,81920,73227,8693,820
4,,2023-05-16 08:22:00,92,81920,74957,6963,820
4,,2023-05-16 08:22:01,93,81920,72801,9119,820
4,,2023-05-16 08:22:02,91,81920,72801,9119,820
4,,2023-05-16 08:22:03,93,81920,72801,9119,820
4,,2023-05-16 08:22:04,93,81920,73099,8821,820
4,,2023-05-16 08:22:05,92,81920,73099,8821,820
4,,2023-05-16 08:22:06,93,81920,72673,9247,820
4,,2023-05-16 08:22:07,96,81920,72673,9247,820
4,,2023-05-16 08:22:08,91,81920,72673,9247,820
4,,2023-05-16 08:22:09,92,81920,75243,6677,820
4,,2023-05-16 08:22:10,93,81920,72825,9095,820
4,,2023-05-16 08:22:11,91,81920,72825,9095,820
