device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
0,,2023-05-11 14:19:41,0,49140,48176,964,455
0,,2023-05-11 14:19:42,0,49140,48176,964,455
0,,2023-05-11 14:19:43,0,49140,48176,964,455
0,,2023-05-11 14:19:44,0,49140,48176,964,455
0,,2023-05-11 14:19:45,0,49140,48176,964,455
0,,2023-05-11 14:19:46,0,49140,48176,964,455
0,,2023-05-11 14:19:47,0,49140,48176,964,455
0,,2023-05-11 14:19:48,0,49140,48176,964,455
0,,2023-05-11 14:19:49,0,49140,48176,964,455
0,,2023-05-11 14:19:50,0,49140,48176,964,455
0,,2023-05-11 14:19:51,0,49140,48176,964,455
0,,2023-05-11 14:19:52,0,49140,48176,964,455
0,,2023-05-11 14:19:53,0,49140,48176,964,455
0,,2023-05-11 14:19:54,0,49140,48176,964,455
0,,2023-05-11 14:19:55,0,49140,48176,964,455
0,,2023-05-11 14:19:56,0,49140,48176,964,455
0,,2023-05-11 14:19:57,0,49140,48176,964,455
0,,2023-05-11 14:19:58,0,49140,48176,964,455
0,,2023-05-11 14:19:59,0,49140,48176,964,455
0,,2023-05-11 14:20:00,1,49140,47784,1356,455
0,,2023-05-11 14:20:01,7,49140,47402,1738,455
0,,2023-05-11 14:20:02,0,49140,47400,1740,455
0,,2023-05-11 14:20:03,0,49140,47232,1908,455
0,,2023-05-11 14:20:04,1,49140,46830,2310,455
0,,2023-05-11 14:20:05,0,49140,46018,3122,455
0,,2023-05-11 14:20:06,21,49140,46018,3122,455
0,,2023-05-11 14:20:07,22,49140,46018,3122,455
0,,2023-05-11 14:20:08,1,49140,46018,3122,455
0,,2023-05-11 14:20:09,0,49140,46018,3122,455
0,,2023-05-11 14:20:10,3,49140,44836,4304,455
0,,2023-05-11 14:20:11,1,49140,44182,4958,455
0,,2023-05-11 14:20:12,0,49140,44182,4958,455
0,,2023-05-11 14:20:13,22,49140,44182,4958,455
0,,2023-05-11 14:20:14,22,49140,44182,4958,455
0,,2023-05-11 14:20:15,2,49140,44182,4958,455
0,,2023-05-11 14:20:16,0,49140,44182,4958,455
0,,2023-05-11 14:20:17,21,49140,44176,4964,455
0,,2023-05-11 14:20:18,1,49140,44176,4964,455
0,,2023-05-11 14:20:19,21,49140,44176,4964,455
0,,2023-05-11 14:20:20,22,49140,44176,4964,455
0,,2023-05-11 14:20:21,32,49140,44176,4964,455
0,,2023-05-11 14:20:22,0,49140,44176,4964,455
0,,2023-05-11 14:20:23,10,49140,44176,4964,455
0,,2023-05-11 14:20:24,22,49140,44176,4964,455
0,,2023-05-11 14:20:25,1,49140,44176,4964,455
0,,2023-05-11 14:20:26,0,49140,44176,4964,455
0,,2023-05-11 14:20:27,64,49140,44176,4964,455
0,,2023-05-11 14:20:28,2,49140,44176,4964,455
0,,2023-05-11 14:20:29,22,49140,44176,4964,455
0,,2023-05-11 14:20:30,1,49140,44176,4964,455
0,,2023-05-11 14:20:31,20,49140,44176,4964,455
0,,2023-05-11 14:20:32,0,49140,44176,4964,455
0,,2023-05-11 14:20:33,2,49140,44176,4964,455
0,,2023-05-11 14:20:34,22,49140,44176,4964,455
0,,2023-05-11 14:20:35,20,49140,44176,4964,455
0,,2023-05-11 14:20:36,0,49140,44176,4964,455
0,,2023-05-11 14:20:37,22,49140,44176,4964,455
0,,2023-05-11 14:20:38,1,49140,44176,4964,455
0,,2023-05-11 14:20:39,0,49140,44176,4964,455
0,,2023-05-11 14:20:40,8,49140,44176,4964,455
0,,2023-05-11 14:20:41,22,49140,44176,4964,455
0,,2023-05-11 14:20:42,1,49140,44176,4964,455
0,,2023-05-11 14:20:43,22,49140,44176,4964,455
0,,2023-05-11 14:20:44,1,49140,44176,4964,455
0,,2023-05-11 14:20:45,0,49140,44176,4964,455
0,,2023-05-11 14:20:46,22,49140,44176,4964,455
0,,2023-05-11 14:20:47,11,49140,44176,4964,455
0,,2023-05-11 14:20:48,0,49140,44176,4964,455
0,,2023-05-11 14:20:49,1,49140,44176,4964,455
0,,2023-05-11 14:20:50,1,49140,44176,4964,455
0,,2023-05-11 14:20:51,0,49140,44176,4964,455
0,,2023-05-11 14:20:52,0,49140,44176,4964,455
0,,2023-05-11 14:20:53,22,49140,44176,4964,455
