device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
0,,2023-05-11 13:31:49,0,49140,48176,964,455
0,,2023-05-11 13:31:50,0,49140,48176,964,455
0,,2023-05-11 13:31:51,0,49140,48176,964,455
0,,2023-05-11 13:31:52,0,49140,48176,964,455
0,,2023-05-11 13:31:53,0,49140,48176,964,455
0,,2023-05-11 13:31:54,0,49140,48176,964,455
0,,2023-05-11 13:31:55,0,49140,48176,964,455
0,,2023-05-11 13:31:56,0,49140,48176,964,455
0,,2023-05-11 13:31:57,0,49140,48176,964,455
0,,2023-05-11 13:31:58,0,49140,48176,964,455
0,,2023-05-11 13:31:59,0,49140,48176,964,455
0,,2023-05-11 13:32:00,0,49140,48176,964,455
0,,2023-05-11 13:32:01,0,49140,48176,964,455
0,,2023-05-11 13:32:02,0,49140,48176,964,455
0,,2023-05-11 13:32:03,0,49140,48176,964,455
0,,2023-05-11 13:32:04,2,49140,47182,1958,455
0,,2023-05-11 13:32:05,4,49140,47062,2078,455
0,,2023-05-11 13:32:06,0,49140,47062,2078,455
0,,2023-05-11 13:32:07,0,49140,47062,2078,455
0,,2023-05-11 13:32:09,2,49140,47054,2086,455
0,,2023-05-11 13:32:10,0,49140,47010,2130,455
0,,2023-05-11 13:32:11,1,49140,46842,2298,455
0,,2023-05-11 13:32:12,0,49140,46658,2482,455
0,,2023-05-11 13:32:13,20,49140,45444,3696,455
0,,2023-05-11 13:32:14,2,49140,45420,3720,455
0,,2023-05-11 13:32:15,24,49140,45034,4106,455
0,,2023-05-11 13:32:16,7,49140,45034,4106,455
0,,2023-05-11 13:32:17,30,49140,44350,4790,455
0,,2023-05-11 13:32:18,24,49140,43554,5586,455
0,,2023-05-11 13:32:19,26,49140,43554,5586,455
0,,2023-05-11 13:32:20,23,49140,43554,5586,455
0,,2023-05-11 13:32:21,37,49140,42932,6208,455
0,,2023-05-11 13:32:22,24,49140,42932,6208,455
0,,2023-05-11 13:32:23,23,49140,42932,6208,455
0,,2023-05-11 13:32:24,7,49140,44518,4622,455
0,,2023-05-11 13:32:25,25,49140,42932,6208,455
0,,2023-05-11 13:32:26,8,49140,42932,6208,455
0,,2023-05-11 13:32:27,7,49140,42932,6208,455
0,,2023-05-11 13:32:28,0,49140,42932,6208,455
0,,2023-05-11 13:32:29,22,49140,42932,6208,455
0,,2023-05-11 13:32:30,26,49140,42932,6208,455
0,,2023-05-11 13:32:31,74,49140,42932,6208,455
0,,2023-05-11 13:32:32,18,49140,42932,6208,455
0,,2023-05-11 13:32:33,6,49140,42932,6208,455
0,,2023-05-11 13:32:34,23,49140,42804,6336,455
0,,2023-05-11 13:32:35,23,49140,42804,6336,455
0,,2023-05-11 13:32:36,19,49140,42804,6336,455
0,,2023-05-11 13:32:37,5,49140,42804,6336,455
0,,2023-05-11 13:32:38,4,49140,42932,6208,455
0,,2023-05-11 13:32:39,19,49140,42932,6208,455
0,,2023-05-11 13:32:40,23,49140,42932,6208,455
0,,2023-05-11 13:32:41,5,49140,42572,6568,455
0,,2023-05-11 13:32:42,0,49140,42572,6568,455
0,,2023-05-11 13:32:43,16,49140,42572,6568,455
0,,2023-05-11 13:32:44,27,49140,42572,6568,455
0,,2023-05-11 13:32:45,22,49140,42572,6568,455
0,,2023-05-11 13:32:46,1,49140,42444,6696,455
0,,2023-05-11 13:32:47,0,49140,42444,6696,455
0,,2023-05-11 13:32:48,3,49140,42444,6696,455
0,,2023-05-11 13:32:49,0,49140,42444,6696,455
0,,2023-05-11 13:32:50,22,49140,42444,6696,455
0,,2023-05-11 13:32:51,9,49140,42444,6696,455
0,,2023-05-11 13:32:52,22,49140,42444,6696,455
0,,2023-05-11 13:32:53,71,49140,42444,6696,455
0,,2023-05-11 13:32:54,25,49140,42444,6696,455
0,,2023-05-11 13:32:55,21,49140,42444,6696,455
0,,2023-05-11 13:32:56,31,49140,44038,5102,455
0,,2023-05-11 13:32:57,0,49140,42444,6696,455
0,,2023-05-11 13:32:58,23,49140,42444,6696,455
0,,2023-05-11 13:32:59,19,49140,42444,6696,455
0,,2023-05-11 13:33:00,15,49140,42106,7034,455
0,,2023-05-11 13:33:01,7,49140,42106,7034,455
0,,2023-05-11 13:33:02,24,49140,42106,7034,455
0,,2023-05-11 13:33:03,24,49140,42106,7034,455
0,,2023-05-11 13:33:04,59,49140,41978,7162,455
0,,2023-05-11 13:33:05,0,49140,41978,7162,455
0,,2023-05-11 13:33:06,0,49140,41978,7162,455
0,,2023-05-11 13:33:07,0,49140,41978,7162,455
0,,2023-05-11 13:33:08,27,49140,41978,7162,455
0,,2023-05-11 13:33:09,16,49140,41978,7162,455
0,,2023-05-11 13:33:10,5,49140,41978,7162,455
0,,2023-05-11 13:33:11,0,49140,41978,7162,455
0,,2023-05-11 13:33:12,22,49140,41978,7162,455
0,,2023-05-11 13:33:13,8,49140,41978,7162,455
0,,2023-05-11 13:33:14,50,49140,42106,7034,455
0,,2023-05-11 13:33:15,0,49140,41734,7406,455
0,,2023-05-11 13:33:16,5,49140,41734,7406,455
0,,2023-05-11 13:33:17,19,49140,41734,7406,455
0,,2023-05-11 13:33:18,24,49140,41734,7406,455
0,,2023-05-11 13:33:19,0,49140,41606,7534,455
0,,2023-05-11 13:33:20,0,49140,41606,7534,455
0,,2023-05-11 13:33:21,0,49140,41606,7534,455
0,,2023-05-11 13:33:22,0,49140,41606,7534,455
0,,2023-05-11 13:33:23,0,49140,41606,7534,455
0,,2023-05-11 13:33:24,5,49140,41606,7534,455
0,,2023-05-11 13:33:25,19,49140,41606,7534,455
0,,2023-05-11 13:33:26,22,49140,41606,7534,455
0,,2023-05-11 13:33:27,75,49140,41478,7662,455
0,,2023-05-11 13:33:28,17,49140,41478,7662,455
0,,2023-05-11 13:33:29,16,49140,41478,7662,455
0,,2023-05-11 13:33:30,33,49140,41478,7662,455
0,,2023-05-11 13:33:31,26,49140,41478,7662,455
0,,2023-05-11 13:33:32,25,49140,41478,7662,455
0,,2023-05-11 13:33:33,22,49140,41478,7662,455
0,,2023-05-11 13:33:34,16,49140,41478,7662,455
0,,2023-05-11 13:33:35,24,49140,41478,7662,455
0,,2023-05-11 13:33:36,50,49140,44098,5042,455
0,,2023-05-11 13:33:37,0,49140,44098,5042,455
0,,2023-05-11 13:33:38,0,49140,44098,5042,455
0,,2023-05-11 13:33:39,0,49140,44098,5042,455
0,,2023-05-11 13:33:40,0,49140,44098,5042,455
0,,2023-05-11 13:33:41,0,49140,44098,5042,455
0,,2023-05-11 13:33:42,0,49140,44098,5042,455
0,,2023-05-11 13:33:43,0,49140,44098,5042,455
0,,2023-05-11 13:33:44,0,49140,44098,5042,455
0,,2023-05-11 13:33:45,0,49140,44098,5042,455
0,,2023-05-11 13:33:46,0,49140,44098,5042,455
0,,2023-05-11 13:33:47,0,49140,44098,5042,455
0,,2023-05-11 13:33:48,0,49140,44098,5042,455
0,,2023-05-11 13:33:49,0,49140,44098,5042,455
0,,2023-05-11 13:33:50,0,49140,44098,5042,455
0,,2023-05-11 13:33:51,0,49140,44098,5042,455
0,,2023-05-11 13:33:52,8,49140,43112,6028,455
0,,2023-05-11 13:33:53,11,49140,42986,6154,455
0,,2023-05-11 13:33:54,0,49140,42984,6156,455
0,,2023-05-11 13:33:55,13,49140,42810,6330,455
0,,2023-05-11 13:33:56,1,49140,42116,7024,455
0,,2023-05-11 13:33:57,19,49140,37494,11646,455
0,,2023-05-11 13:33:58,0,49140,37494,11646,455
0,,2023-05-11 13:33:59,0,49140,37494,11646,455
0,,2023-05-11 13:34:00,100,49140,36450,12690,455
0,,2023-05-11 13:34:01,72,49140,36450,12690,455
0,,2023-05-11 13:34:02,2,49140,36100,13040,455
0,,2023-05-11 13:34:03,3,49140,35230,13910,455
0,,2023-05-11 13:34:04,9,49140,33358,15782,455
0,,2023-05-11 13:34:05,11,49140,31966,17174,455
0,,2023-05-11 13:34:06,4,49140,31966,17174,455
0,,2023-05-11 13:34:07,1,49140,31966,17174,455
0,,2023-05-11 13:34:08,100,49140,31966,17174,455
0,,2023-05-11 13:34:09,100,49140,31966,17174,455
0,,2023-05-11 13:34:10,6,49140,31966,17174,455
0,,2023-05-11 13:34:11,0,49140,31966,17174,455
0,,2023-05-11 13:34:12,0,49140,31966,17174,455
0,,2023-05-11 13:34:13,10,49140,31966,17174,455
0,,2023-05-11 13:34:14,0,49140,31966,17174,455
0,,2023-05-11 13:34:15,30,49140,30370,18770,455
0,,2023-05-11 13:34:16,3,49140,30370,18770,455
0,,2023-05-11 13:34:17,8,49140,29500,19640,455
0,,2023-05-11 13:34:18,4,49140,29500,19640,455
0,,2023-05-11 13:34:19,0,49140,29500,19640,455
0,,2023-05-11 13:34:20,58,49140,29500,19640,455
0,,2023-05-11 13:34:21,100,49140,29500,19640,455
0,,2023-05-11 13:34:22,43,49140,29500,19640,455
0,,2023-05-11 13:34:23,0,49140,29500,19640,455
0,,2023-05-11 13:34:24,6,49140,29500,19640,455
0,,2023-05-11 13:34:25,24,49140,29500,19640,455
0,,2023-05-11 13:34:26,0,49140,29500,19640,455
0,,2023-05-11 13:34:27,100,49140,29500,19640,455
0,,2023-05-11 13:34:28,100,49140,29500,19640,455
0,,2023-05-11 13:34:29,28,49140,29500,19640,455
0,,2023-05-11 13:34:30,11,49140,29500,19640,455
0,,2023-05-11 13:34:31,100,49140,29500,19640,455
0,,2023-05-11 13:34:32,100,49140,29500,19640,455
0,,2023-05-11 13:34:33,9,49140,29500,19640,455
0,,2023-05-11 13:34:34,16,49140,29500,19640,455
0,,2023-05-11 13:34:35,0,49140,29500,19640,455
0,,2023-05-11 13:34:36,100,49140,29500,19640,455
0,,2023-05-11 13:34:37,99,49140,29500,19640,455
0,,2023-05-11 13:34:38,9,49140,29500,19640,455
0,,2023-05-11 13:34:39,0,49140,29500,19640,455
0,,2023-05-11 13:34:40,100,49140,29500,19640,455
0,,2023-05-11 13:34:41,100,49140,29500,19640,455
0,,2023-05-11 13:34:42,19,49140,29500,19640,455
0,,2023-05-11 13:34:43,11,49140,29500,19640,455
0,,2023-05-11 13:34:44,100,49140,29500,19640,455
0,,2023-05-11 13:34:45,100,49140,29500,19640,455
0,,2023-05-11 13:34:46,9,49140,29500,19640,455
0,,2023-05-11 13:34:47,13,49140,29500,19640,455
0,,2023-05-11 13:34:48,0,49140,29500,19640,455
0,,2023-05-11 13:34:49,100,49140,29500,19640,455
0,,2023-05-11 13:34:50,100,49140,29500,19640,455
0,,2023-05-11 13:34:51,8,49140,29500,19640,455
0,,2023-05-11 13:34:52,1,49140,29500,19640,455
0,,2023-05-11 13:34:53,100,49140,29500,19640,455
0,,2023-05-11 13:34:54,100,49140,29500,19640,455
0,,2023-05-11 13:34:55,0,49140,29500,19640,455
0,,2023-05-11 13:34:56,11,49140,29500,19640,455
0,,2023-05-11 13:34:57,89,49140,32920,16220,455
0,,2023-05-11 13:34:58,100,49140,32920,16220,455
0,,2023-05-11 13:34:59,70,49140,31278,17862,455
0,,2023-05-11 13:35:00,100,49140,30282,18858,455
0,,2023-05-11 13:35:01,100,49140,29884,19256,455
0,,2023-05-11 13:35:02,3,49140,29088,20052,455
0,,2023-05-11 13:35:03,15,49140,27890,21250,455
0,,2023-05-11 13:35:04,6,49140,26294,22846,455
0,,2023-05-11 13:35:05,6,49140,26294,22846,455
0,,2023-05-11 13:35:06,87,49140,26294,22846,455
0,,2023-05-11 13:35:07,100,49140,26294,22846,455
0,,2023-05-11 13:35:08,8,49140,26294,22846,455
0,,2023-05-11 13:35:09,10,49140,26294,22846,455
0,,2023-05-11 13:35:10,0,49140,26294,22846,455
0,,2023-05-11 13:35:11,100,49140,26294,22846,455
0,,2023-05-11 13:35:12,100,49140,26294,22846,455
0,,2023-05-11 13:35:13,3,49140,26294,22846,455
0,,2023-05-11 13:35:14,18,49140,25696,23444,455
0,,2023-05-11 13:35:15,0,49140,25696,23444,455
0,,2023-05-11 13:35:16,100,49140,25696,23444,455
0,,2023-05-11 13:35:17,100,49140,25696,23444,455
0,,2023-05-11 13:35:18,35,49140,25696,23444,455
0,,2023-05-11 13:35:19,11,49140,25696,23444,455
0,,2023-05-11 13:35:20,62,49140,25696,23444,455
0,,2023-05-11 13:35:21,100,49140,25696,23444,455
0,,2023-05-11 13:35:22,41,49140,25696,23444,455
0,,2023-05-11 13:35:23,10,49140,25696,23444,455
0,,2023-05-11 13:35:24,4,49140,25696,23444,455
0,,2023-05-11 13:35:25,100,49140,25696,23444,455
0,,2023-05-11 13:35:26,100,49140,25696,23444,455
0,,2023-05-11 13:35:27,9,49140,25696,23444,455
0,,2023-05-11 13:35:28,12,49140,25696,23444,455
0,,2023-05-11 13:35:29,0,49140,25696,23444,455
0,,2023-05-11 13:35:30,100,49140,25696,23444,455
0,,2023-05-11 13:35:31,100,49140,25696,23444,455
0,,2023-05-11 13:35:32,32,49140,25696,23444,455
0,,2023-05-11 13:35:33,9,49140,25696,23444,455
0,,2023-05-11 13:35:34,100,49140,25696,23444,455
0,,2023-05-11 13:35:35,100,49140,25696,23444,455
0,,2023-05-11 13:35:36,9,49140,25696,23444,455
0,,2023-05-11 13:35:37,17,49140,25696,23444,455
0,,2023-05-11 13:35:38,0,49140,25696,23444,455
0,,2023-05-11 13:35:39,100,49140,25696,23444,455
0,,2023-05-11 13:35:40,32,49140,25696,23444,455
0,,2023-05-11 13:35:41,6,49140,25696,23444,455
0,,2023-05-11 13:35:42,0,49140,25696,23444,455
0,,2023-05-11 13:35:43,100,49140,25696,23444,455
