device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
0,,2023-05-11 15:14:37,0,49140,48176,964,455
0,,2023-05-11 15:14:38,0,49140,48176,964,455
0,,2023-05-11 15:14:39,0,49140,48176,964,455
0,,2023-05-11 15:14:40,0,49140,48176,964,455
0,,2023-05-11 15:14:41,0,49140,48176,964,455
0,,2023-05-11 15:14:42,0,49140,48176,964,455
0,,2023-05-11 15:14:43,0,49140,48176,964,455
0,,2023-05-11 15:14:44,0,49140,48176,964,455
0,,2023-05-11 15:14:45,0,49140,48176,964,455
0,,2023-05-11 15:14:46,0,49140,48176,964,455
0,,2023-05-11 15:14:47,0,49140,48176,964,455
0,,2023-05-11 15:14:48,0,49140,48176,964,455
0,,2023-05-11 15:14:49,0,49140,48176,964,455
0,,2023-05-11 15:14:50,0,49140,48176,964,455
0,,2023-05-11 15:14:51,0,49140,48176,964,455
0,,2023-05-11 15:14:52,0,49140,48176,964,455
0,,2023-05-11 15:14:53,0,49140,48176,964,455
0,,2023-05-11 15:14:54,0,49140,48176,964,455
0,,2023-05-11 15:14:55,0,49140,48176,964,455
0,,2023-05-11 15:14:56,0,49140,48176,964,455
0,,2023-05-11 15:14:57,0,49140,48176,964,455
0,,2023-05-11 15:14:58,0,49140,48176,964,455
0,,2023-05-11 15:14:59,0,49140,48176,964,455
0,,2023-05-11 15:15:00,4,49140,47850,1290,455
0,,2023-05-11 15:15:01,1,49140,47788,1352,455
0,,2023-05-11 15:15:02,0,49140,47788,1352,455
0,,2023-05-11 15:15:03,0,49140,47774,1366,455
0,,2023-05-11 15:15:04,3,49140,47242,1898,455
0,,2023-05-11 15:15:05,0,49140,47232,1908,455
0,,2023-05-11 15:15:06,21,49140,46018,3122,455
0,,2023-05-11 15:15:07,0,49140,46018,3122,455
0,,2023-05-11 15:15:08,0,49140,46018,3122,455
0,,2023-05-11 15:15:09,0,49140,46018,3122,455
0,,2023-05-11 15:15:10,0,49140,46018,3122,455
0,,2023-05-11 15:15:11,0,49140,46018,3122,455
0,,2023-05-11 15:15:12,0,49140,46018,3122,455
0,,2023-05-11 15:15:13,0,49140,46018,3122,455
0,,2023-05-11 15:15:14,1,49140,46018,3122,455
0,,2023-05-11 15:15:15,21,49140,46018,3122,455
0,,2023-05-11 15:15:16,19,49140,44836,4304,455
0,,2023-05-11 15:15:17,0,49140,44182,4958,455
0,,2023-05-11 15:15:18,0,49140,44182,4958,455
0,,2023-05-11 15:15:19,1,49140,44182,4958,455
0,,2023-05-11 15:15:20,1,49140,44182,4958,455
0,,2023-05-11 15:15:21,0,49140,44182,4958,455
0,,2023-05-11 15:15:22,0,49140,44182,4958,455
0,,2023-05-11 15:15:23,1,49140,44182,4958,455
0,,2023-05-11 15:15:24,0,49140,44182,4958,455
0,,2023-05-11 15:15:25,0,49140,44182,4958,455
0,,2023-05-11 15:15:26,0,49140,44182,4958,455
0,,2023-05-11 15:15:27,12,49140,44176,4964,455
0,,2023-05-11 15:15:28,0,49140,44176,4964,455
0,,2023-05-11 15:15:29,1,49140,44176,4964,455
0,,2023-05-11 15:15:30,0,49140,44176,4964,455
0,,2023-05-11 15:15:31,0,49140,44176,4964,455
0,,2023-05-11 15:15:32,0,49140,44176,4964,455
0,,2023-05-11 15:15:33,0,49140,44176,4964,455
0,,2023-05-11 15:15:34,1,49140,44176,4964,455
0,,2023-05-11 15:15:35,8,49140,44176,4964,455
0,,2023-05-11 15:15:36,0,49140,44176,4964,455
0,,2023-05-11 15:15:37,1,49140,44176,4964,455
0,,2023-05-11 15:15:38,1,49140,44176,4964,455
0,,2023-05-11 15:15:39,1,49140,44176,4964,455
0,,2023-05-11 15:15:40,1,49140,44176,4964,455
0,,2023-05-11 15:15:41,1,49140,44176,4964,455
0,,2023-05-11 15:15:42,1,49140,44176,4964,455
0,,2023-05-11 15:15:43,1,49140,44176,4964,455
0,,2023-05-11 15:15:44,0,49140,44176,4964,455
0,,2023-05-11 15:15:45,0,49140,44176,4964,455
0,,2023-05-11 15:15:46,4,49140,44176,4964,455
0,,2023-05-11 15:15:47,0,49140,44176,4964,455
0,,2023-05-11 15:15:48,0,49140,44176,4964,455
0,,2023-05-11 15:15:49,0,49140,44176,4964,455
0,,2023-05-11 15:15:50,0,49140,44176,4964,455
0,,2023-05-11 15:15:51,0,49140,44176,4964,455
0,,2023-05-11 15:15:52,0,49140,44176,4964,455
0,,2023-05-11 15:15:53,2,49140,44176,4964,455
0,,2023-05-11 15:15:54,1,49140,44176,4964,455
0,,2023-05-11 15:15:55,5,49140,44176,4964,455
0,,2023-05-11 15:15:56,3,49140,44176,4964,455
0,,2023-05-11 15:15:57,0,49140,44176,4964,455
0,,2023-05-11 15:15:58,21,49140,44176,4964,455
0,,2023-05-11 15:15:59,1,49140,44176,4964,455
0,,2023-05-11 15:16:00,10,49140,44176,4964,455
0,,2023-05-11 15:16:01,21,49140,44176,4964,455
0,,2023-05-11 15:16:02,1,49140,44176,4964,455
0,,2023-05-11 15:16:03,1,49140,44176,4964,455
0,,2023-05-11 15:16:04,1,49140,44176,4964,455
0,,2023-05-11 15:16:05,22,49140,44176,4964,455
0,,2023-05-11 15:16:06,3,49140,44176,4964,455
0,,2023-05-11 15:16:07,1,49140,44176,4964,455
0,,2023-05-11 15:16:08,10,49140,44176,4964,455
0,,2023-05-11 15:16:09,23,49140,44176,4964,455
0,,2023-05-11 15:16:10,0,49140,44176,4964,455
0,,2023-05-11 15:16:11,0,49140,44176,4964,455
0,,2023-05-11 15:16:12,0,49140,44176,4964,455
0,,2023-05-11 15:16:13,0,49140,44176,4964,455
0,,2023-05-11 15:16:14,0,49140,44176,4964,455
0,,2023-05-11 15:16:15,1,49140,44176,4964,455
0,,2023-05-11 15:16:16,0,49140,44176,4964,455
0,,2023-05-11 15:16:17,0,49140,44176,4964,455
0,,2023-05-11 15:16:18,21,49140,44176,4964,455
0,,2023-05-11 15:16:19,17,49140,44176,4964,455
0,,2023-05-11 15:16:20,21,49140,44176,4964,455
0,,2023-05-11 15:16:21,1,49140,44176,4964,455
0,,2023-05-11 15:16:22,22,49140,44176,4964,455
0,,2023-05-11 15:16:23,1,49140,44176,4964,455
0,,2023-05-11 15:16:24,0,49140,44176,4964,455
0,,2023-05-11 15:16:25,1,49140,44176,4964,455
0,,2023-05-11 15:16:26,33,49140,44176,4964,455
0,,2023-05-11 15:16:27,0,49140,44176,4964,455
0,,2023-05-11 15:16:28,0,49140,44176,4964,455
0,,2023-05-11 15:16:29,1,49140,44176,4964,455
0,,2023-05-11 15:16:30,1,49140,44176,4964,455
0,,2023-05-11 15:16:31,0,49140,44176,4964,455
0,,2023-05-11 15:16:32,0,49140,44176,4964,455
0,,2023-05-11 15:16:33,21,49140,44176,4964,455
0,,2023-05-11 15:16:34,21,49140,44176,4964,455
0,,2023-05-11 15:16:35,10,49140,44176,4964,455
0,,2023-05-11 15:16:36,10,49140,44176,4964,455
0,,2023-05-11 15:16:37,0,49140,44176,4964,455
0,,2023-05-11 15:16:38,0,49140,44176,4964,455
0,,2023-05-11 15:16:39,0,49140,44176,4964,455
0,,2023-05-11 15:16:40,0,49140,44176,4964,455
0,,2023-05-11 15:16:41,0,49140,44176,4964,455
0,,2023-05-11 15:16:42,0,49140,44176,4964,455
0,,2023-05-11 15:16:43,0,49140,44176,4964,455
0,,2023-05-11 15:16:44,0,49140,44176,4964,455
0,,2023-05-11 15:16:45,0,49140,44176,4964,455
0,,2023-05-11 15:16:46,3,49140,44176,4964,455
0,,2023-05-11 15:16:47,0,49140,44176,4964,455
0,,2023-05-11 15:16:48,0,49140,44176,4964,455
0,,2023-05-11 15:16:49,16,49140,44176,4964,455
0,,2023-05-11 15:16:50,0,49140,44176,4964,455
0,,2023-05-11 15:16:51,1,49140,44176,4964,455
0,,2023-05-11 15:16:52,0,49140,44176,4964,455
0,,2023-05-11 15:16:53,5,49140,44176,4964,455
0,,2023-05-11 15:16:54,0,49140,44176,4964,455
0,,2023-05-11 15:16:55,1,49140,44176,4964,455
0,,2023-05-11 15:16:56,1,49140,44176,4964,455
0,,2023-05-11 15:16:57,0,49140,44176,4964,455
0,,2023-05-11 15:16:58,22,49140,44176,4964,455
0,,2023-05-11 15:16:59,1,49140,44176,4964,455
0,,2023-05-11 15:17:00,0,49140,44176,4964,455
0,,2023-05-11 15:17:01,0,49140,44176,4964,455
0,,2023-05-11 15:17:02,0,49140,44176,4964,455
0,,2023-05-11 15:17:03,0,49140,44176,4964,455
0,,2023-05-11 15:17:04,1,49140,44176,4964,455
0,,2023-05-11 15:17:05,1,49140,44176,4964,455
0,,2023-05-11 15:17:06,1,49140,44176,4964,455
0,,2023-05-11 15:17:07,21,49140,44176,4964,455
0,,2023-05-11 15:17:08,0,49140,44176,4964,455
0,,2023-05-11 15:17:09,0,49140,44176,4964,455
0,,2023-05-11 15:17:10,0,49140,44176,4964,455
0,,2023-05-11 15:17:11,1,49140,44176,4964,455
0,,2023-05-11 15:17:12,1,49140,44176,4964,455
0,,2023-05-11 15:17:13,22,49140,44176,4964,455
0,,2023-05-11 15:17:14,0,49140,44176,4964,455
0,,2023-05-11 15:17:15,21,49140,44176,4964,455
0,,2023-05-11 15:17:16,23,49140,44176,4964,455
0,,2023-05-11 15:17:17,21,49140,44176,4964,455
0,,2023-05-11 15:17:18,1,49140,44176,4964,455
0,,2023-05-11 15:17:19,0,49140,44176,4964,455
0,,2023-05-11 15:17:20,22,49140,44176,4964,455
0,,2023-05-11 15:17:21,0,49140,44176,4964,455
0,,2023-05-11 15:17:22,22,49140,44176,4964,455
