device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
1,,2023-05-12 19:51:23,92,81920,80403,1517,820
1,,2023-05-12 19:51:24,88,81920,80403,1517,820
1,,2023-05-12 19:51:25,95,81920,80403,1517,820
1,,2023-05-12 19:51:26,76,81920,80403,1517,820
1,,2023-05-12 19:51:27,99,81920,80403,1517,820
1,,2023-05-12 19:51:28,92,81920,80403,1517,820
1,,2023-05-12 19:51:29,73,81920,80403,1517,820
1,,2023-05-12 19:51:30,93,81920,80403,1517,820
1,,2023-05-12 19:51:31,100,81920,80403,1517,820
1,,2023-05-12 19:51:32,93,81920,80403,1517,820
1,,2023-05-12 19:51:33,93,81920,80403,1517,820
1,,2023-05-12 19:51:34,0,81920,80403,1517,820
1,,2023-05-12 19:51:35,93,81920,80403,1517,820
1,,2023-05-12 19:51:36,81,81920,79679,2241,820
1,,2023-05-12 19:51:37,93,81920,78903,3017,820
1,,2023-05-12 19:51:38,99,81920,78837,3083,820
1,,2023-05-12 19:51:39,92,81920,78837,3083,820
1,,2023-05-12 19:51:40,0,81920,78809,3111,820
1,,2023-05-12 19:51:41,47,81920,78799,3121,820
1,,2023-05-12 19:51:42,93,81920,78799,3121,820
1,,2023-05-12 19:51:43,93,81920,78603,3317,820
1,,2023-05-12 19:51:44,94,81920,78585,3335,820
1,,2023-05-12 19:51:45,100,81920,77373,4547,820
1,,2023-05-12 19:51:46,81,81920,77355,4565,820
1,,2023-05-12 19:51:47,92,81920,76969,4951,820
1,,2023-05-12 19:51:48,93,81920,76631,5289,820
1,,2023-05-12 19:51:49,99,81920,75585,6335,820
1,,2023-05-12 19:51:50,94,81920,74487,7433,820
1,,2023-05-12 19:51:51,93,81920,74487,7433,820
1,,2023-05-12 19:51:52,43,81920,74487,7433,820
1,,2023-05-12 19:51:53,100,81920,74267,7653,820
1,,2023-05-12 19:51:54,91,81920,74267,7653,820
1,,2023-05-12 19:51:55,94,81920,74267,7653,820
1,,2023-05-12 19:51:56,93,81920,74267,7653,820
1,,2023-05-12 19:51:57,94,81920,74267,7653,820
1,,2023-05-12 19:51:58,93,81920,74267,7653,820
1,,2023-05-12 19:51:59,0,81920,74267,7653,820
1,,2023-05-12 19:52:00,83,81920,73819,8101,820
1,,2023-05-12 19:52:01,92,81920,73819,8101,820
1,,2023-05-12 19:52:02,96,81920,73817,8103,820
1,,2023-05-12 19:52:03,96,81920,73817,8103,820
1,,2023-05-12 19:52:04,93,81920,73817,8103,820
1,,2023-05-12 19:52:05,93,81920,73817,8103,820
1,,2023-05-12 19:52:06,63,81920,73817,8103,820
1,,2023-05-12 19:52:07,0,81920,73817,8103,820
1,,2023-05-12 19:52:08,85,81920,73817,8103,820
1,,2023-05-12 19:52:09,93,81920,73817,8103,820
1,,2023-05-12 19:52:10,100,81920,73935,7985,820
1,,2023-05-12 19:52:11,93,81920,73935,7985,820
1,,2023-05-12 19:52:12,98,81920,73935,7985,820
1,,2023-05-12 19:52:13,39,81920,73935,7985,820
1,,2023-05-12 19:52:14,92,81920,73955,7965,820
1,,2023-05-12 19:52:15,54,81920,73955,7965,820
1,,2023-05-12 19:52:16,95,81920,77055,4865,820
1,,2023-05-12 19:52:17,92,81920,73929,7991,820
1,,2023-05-12 19:52:18,89,81920,73929,7991,820
1,,2023-05-12 19:52:19,100,81920,73939,7981,820
1,,2023-05-12 19:52:20,92,81920,73939,7981,820
1,,2023-05-12 19:52:21,92,81920,73939,7981,820
1,,2023-05-12 19:52:22,100,81920,73939,7981,820
1,,2023-05-12 19:52:23,91,81920,73823,8097,820
1,,2023-05-12 19:52:24,91,81920,73823,8097,820
1,,2023-05-12 19:52:25,93,81920,73823,8097,820
1,,2023-05-12 19:52:26,100,81920,73561,8359,820
1,,2023-05-12 19:52:27,48,81920,73561,8359,820
1,,2023-05-12 19:52:28,0,81920,73201,8719,820
1,,2023-05-12 19:52:29,1,81920,73201,8719,820
1,,2023-05-12 19:52:30,71,81920,73201,8719,820
1,,2023-05-12 19:52:31,94,81920,73201,8719,820
1,,2023-05-12 19:52:32,98,81920,73201,8719,820
1,,2023-05-12 19:52:33,84,81920,73201,8719,820
1,,2023-05-12 19:52:34,62,81920,73201,8719,820
1,,2023-05-12 19:52:35,23,81920,73201,8719,820
1,,2023-05-12 19:52:36,36,81920,73201,8719,820
1,,2023-05-12 19:52:37,58,81920,73317,8603,820
1,,2023-05-12 19:52:38,0,81920,73317,8603,820
1,,2023-05-12 19:52:39,0,81920,72913,9007,820
1,,2023-05-12 19:52:40,93,81920,72913,9007,820
1,,2023-05-12 19:52:41,92,81920,72913,9007,820
1,,2023-05-12 19:52:42,100,81920,72913,9007,820
1,,2023-05-12 19:52:43,91,81920,72913,9007,820
1,,2023-05-12 19:52:44,93,81920,72991,8929,820
1,,2023-05-12 19:52:45,100,81920,72991,8929,820
1,,2023-05-12 19:52:46,92,81920,73059,8861,820
1,,2023-05-12 19:52:47,93,81920,73059,8861,820
1,,2023-05-12 19:52:48,100,81920,73059,8861,820
1,,2023-05-12 19:52:49,100,81920,73059,8861,820
1,,2023-05-12 19:52:50,0,81920,73059,8861,820
1,,2023-05-12 19:52:51,93,81920,73059,8861,820
1,,2023-05-12 19:52:52,91,81920,72791,9129,820
1,,2023-05-12 19:52:53,0,81920,72791,9129,820
1,,2023-05-12 19:52:55,70,81920,75215,6705,820
1,,2023-05-12 19:52:56,91,81920,73197,8723,820
1,,2023-05-12 19:52:57,0,81920,73197,8723,820
1,,2023-05-12 19:52:58,49,81920,73197,8723,820
1,,2023-05-12 19:52:59,68,81920,73197,8723,820
1,,2023-05-12 19:53:00,0,81920,73197,8723,820
1,,2023-05-12 19:53:01,100,81920,73197,8723,820
1,,2023-05-12 19:53:02,91,81920,73055,8865,820
1,,2023-05-12 19:53:03,93,81920,73055,8865,820
1,,2023-05-12 19:53:04,100,81920,73055,8865,820
1,,2023-05-12 19:53:05,91,81920,73055,8865,820
1,,2023-05-12 19:53:06,93,81920,73055,8865,820
1,,2023-05-12 19:53:07,100,81920,73065,8855,820
1,,2023-05-12 19:53:08,99,81920,73065,8855,820
1,,2023-05-12 19:53:09,100,81920,73065,8855,820
1,,2023-05-12 19:53:10,27,81920,73065,8855,820
1,,2023-05-12 19:53:11,0,81920,73065,8855,820
1,,2023-05-12 19:53:12,100,81920,73065,8855,820
1,,2023-05-12 19:53:13,89,81920,73065,8855,820
1,,2023-05-12 19:53:14,93,81920,73065,8855,820
1,,2023-05-12 19:53:15,100,81920,73065,8855,820
1,,2023-05-12 19:53:16,93,81920,73201,8719,820
1,,2023-05-12 19:53:17,88,81920,73201,8719,820
1,,2023-05-12 19:53:18,97,81920,72927,8993,820
1,,2023-05-12 19:53:19,93,81920,72927,8993,820
1,,2023-05-12 19:53:20,93,81920,72927,8993,820
1,,2023-05-12 19:53:21,99,81920,72927,8993,820
1,,2023-05-12 19:53:22,93,81920,72927,8993,820
1,,2023-05-12 19:53:23,94,81920,72927,8993,820
1,,2023-05-12 19:53:24,83,81920,72927,8993,820
1,,2023-05-12 19:53:25,0,81920,72931,8989,820
1,,2023-05-12 19:53:26,93,81920,76359,5561,820
1,,2023-05-12 19:53:27,100,81920,76081,5839,820
1,,2023-05-12 19:53:28,92,81920,76095,5825,820
1,,2023-05-12 19:53:29,82,81920,76095,5825,820
1,,2023-05-12 19:53:30,0,81920,76095,5825,820
1,,2023-05-12 19:53:31,94,81920,76095,5825,820
1,,2023-05-12 19:53:32,94,81920,76095,5825,820
1,,2023-05-12 19:53:33,90,81920,76095,5825,820
1,,2023-05-12 19:53:34,100,81920,76095,5825,820
1,,2023-05-12 19:53:35,100,81920,76095,5825,820
1,,2023-05-12 19:53:36,94,81920,76095,5825,820
1,,2023-05-12 19:53:37,100,81920,76095,5825,820
1,,2023-05-12 19:53:38,53,81920,76095,5825,820
1,,2023-05-12 19:53:39,81,81920,76095,5825,820
1,,2023-05-12 19:53:40,0,81920,76095,5825,820
1,,2023-05-12 19:53:41,93,81920,76095,5825,820
1,,2023-05-12 19:53:42,0,81920,75429,6491,820
1,,2023-05-12 19:53:43,33,81920,74665,7255,820
1,,2023-05-12 19:53:44,98,81920,74605,7315,820
1,,2023-05-12 19:53:45,90,81920,74431,7489,820
1,,2023-05-12 19:53:46,75,81920,73459,8461,820
1,,2023-05-12 19:53:47,0,81920,68683,13237,820
1,,2023-05-12 19:53:48,94,81920,63837,18083,820
1,,2023-05-12 19:53:49,50,81920,63837,18083,820
1,,2023-05-12 19:53:50,45,81920,62793,19127,820
1,,2023-05-12 19:53:51,14,81920,62793,19127,820
1,,2023-05-12 19:53:52,0,81920,62793,19127,820
1,,2023-05-12 19:53:53,86,81920,61575,20345,820
1,,2023-05-12 19:53:54,93,81920,55511,26409,820
