device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
1,,2023-05-11 15:34:52,8,49140,48176,964,455
1,,2023-05-11 15:34:53,2,49140,48176,964,455
1,,2023-05-11 15:34:54,2,49140,48176,964,455
1,,2023-05-11 15:34:55,3,49140,48176,964,455
1,,2023-05-11 15:34:56,2,49140,48176,964,455
1,,2023-05-11 15:34:57,100,49140,48176,964,455
1,,2023-05-11 15:34:58,100,49140,48176,964,455
1,,2023-05-11 15:34:59,7,49140,48176,964,455
1,,2023-05-11 15:35:00,7,49140,48176,964,455
1,,2023-05-11 15:35:01,8,49140,48176,964,455
1,,2023-05-11 15:35:02,2,49140,48176,964,455
1,,2023-05-11 15:35:03,3,49140,48176,964,455
1,,2023-05-11 15:35:04,3,49140,48176,964,455
1,,2023-05-11 15:35:05,2,49140,48176,964,455
1,,2023-05-11 15:35:06,0,49140,48176,964,455
1,,2023-05-11 15:35:07,7,49140,47698,1442,455
1,,2023-05-11 15:35:08,7,49140,47624,1516,455
1,,2023-05-11 15:35:09,0,49140,47046,2094,455
1,,2023-05-11 15:35:10,0,49140,46986,2154,455
1,,2023-05-11 15:35:11,0,49140,46986,2154,455
1,,2023-05-11 15:35:12,0,49140,46962,2178,455
1,,2023-05-11 15:35:13,0,49140,46950,2190,455
1,,2023-05-11 15:35:14,0,49140,46948,2192,455
1,,2023-05-11 15:35:15,0,49140,46920,2220,455
1,,2023-05-11 15:35:16,0,49140,46742,2398,455
1,,2023-05-11 15:35:17,0,49140,46734,2406,455
1,,2023-05-11 15:35:18,0,49140,45182,3958,455
1,,2023-05-11 15:35:19,100,49140,45166,3974,455
1,,2023-05-11 15:35:20,1,49140,44780,4360,455
1,,2023-05-11 15:35:21,99,49140,44780,4360,455
1,,2023-05-11 15:35:22,98,49140,43614,5526,455
1,,2023-05-11 15:35:24,100,49140,43084,6056,455
1,,2023-05-11 15:35:25,12,49140,43084,6056,455
1,,2023-05-11 15:35:26,82,49140,44966,4174,455
1,,2023-05-11 15:35:27,99,49140,42754,6386,455
1,,2023-05-11 15:35:28,100,49140,42754,6386,455
1,,2023-05-11 15:35:29,63,49140,42754,6386,455
1,,2023-05-11 15:35:30,46,49140,42754,6386,455
1,,2023-05-11 15:35:31,99,49140,42412,6728,455
1,,2023-05-11 15:35:32,100,49140,42412,6728,455
1,,2023-05-11 15:35:33,91,49140,42508,6632,455
1,,2023-05-11 15:35:34,7,49140,42508,6632,455
1,,2023-05-11 15:35:35,99,49140,42508,6632,455
1,,2023-05-11 15:35:36,99,49140,42366,6774,455
1,,2023-05-11 15:35:37,100,49140,42366,6774,455
1,,2023-05-11 15:35:38,6,49140,42366,6774,455
1,,2023-05-11 15:35:39,94,49140,42366,6774,455
1,,2023-05-11 15:35:40,98,49140,42464,6676,455
1,,2023-05-11 15:35:41,100,49140,42464,6676,455
1,,2023-05-11 15:35:42,67,49140,42464,6676,455
1,,2023-05-11 15:35:43,36,49140,42464,6676,455
1,,2023-05-11 15:35:44,99,49140,42596,6544,455
1,,2023-05-11 15:35:45,100,49140,42596,6544,455
1,,2023-05-11 15:35:46,73,49140,42596,6544,455
1,,2023-05-11 15:35:47,29,49140,42468,6672,455
1,,2023-05-11 15:35:48,99,49140,42468,6672,455
1,,2023-05-11 15:35:49,99,49140,42468,6672,455
1,,2023-05-11 15:35:50,100,49140,42468,6672,455
1,,2023-05-11 15:35:51,7,49140,42508,6632,455
1,,2023-05-11 15:35:52,100,49140,42508,6632,455
1,,2023-05-11 15:35:53,99,49140,42508,6632,455
1,,2023-05-11 15:35:54,100,49140,42890,6250,455
1,,2023-05-11 15:35:55,2,49140,42890,6250,455
1,,2023-05-11 15:35:56,99,49140,42890,6250,455
1,,2023-05-11 15:35:57,98,49140,42890,6250,455
1,,2023-05-11 15:35:58,100,49140,42890,6250,455
1,,2023-05-11 15:35:59,26,49140,42190,6950,455
1,,2023-05-11 15:36:00,77,49140,42190,6950,455
1,,2023-05-11 15:36:01,99,49140,41830,7310,455
1,,2023-05-11 15:36:02,100,49140,41672,7468,455
1,,2023-05-11 15:36:03,29,49140,41672,7468,455
1,,2023-05-11 15:36:04,81,49140,41672,7468,455
1,,2023-05-11 15:36:05,99,49140,41672,7468,455
1,,2023-05-11 15:36:06,100,49140,41672,7468,455
1,,2023-05-11 15:36:07,40,49140,41672,7468,455
1,,2023-05-11 15:36:08,60,49140,41672,7468,455
1,,2023-05-11 15:36:09,100,49140,41672,7468,455
1,,2023-05-11 15:36:10,98,49140,41672,7468,455
1,,2023-05-11 15:36:11,100,49140,41606,7534,455
1,,2023-05-11 15:36:12,45,49140,41606,7534,455
1,,2023-05-11 15:36:13,61,49140,41606,7534,455
1,,2023-05-11 15:36:14,98,49140,41606,7534,455
1,,2023-05-11 15:36:15,100,49140,41606,7534,455
1,,2023-05-11 15:36:16,65,49140,41606,7534,455
1,,2023-05-11 15:36:17,46,49140,41606,7534,455
1,,2023-05-11 15:36:18,100,49140,42250,6890,455
1,,2023-05-11 15:36:19,99,49140,41468,7672,455
1,,2023-05-11 15:36:20,100,49140,41468,7672,455
1,,2023-05-11 15:36:21,1,49140,41584,7556,455
1,,2023-05-11 15:36:22,99,49140,41584,7556,455
1,,2023-05-11 15:36:23,99,49140,41584,7556,455
1,,2023-05-11 15:36:24,100,49140,41584,7556,455
1,,2023-05-11 15:36:25,2,49140,41584,7556,455
1,,2023-05-11 15:36:26,100,49140,41198,7942,455
1,,2023-05-11 15:36:27,98,49140,41198,7942,455
1,,2023-05-11 15:36:28,100,49140,41198,7942,455
1,,2023-05-11 15:36:29,67,49140,41584,7556,455
1,,2023-05-11 15:36:30,44,49140,41584,7556,455
1,,2023-05-11 15:36:31,98,49140,41584,7556,455
1,,2023-05-11 15:36:32,100,49140,41584,7556,455
1,,2023-05-11 15:36:33,87,49140,41584,7556,455
1,,2023-05-11 15:36:34,11,49140,41574,7566,455
1,,2023-05-11 15:36:35,99,49140,41574,7566,455
1,,2023-05-11 15:36:36,99,49140,41574,7566,2189
1,,2023-05-11 15:36:37,100,49140,41458,7682,455
1,,2023-05-11 15:36:38,5,49140,41458,7682,455
1,,2023-05-11 15:36:39,100,49140,41458,7682,455
1,,2023-05-11 15:36:40,99,49140,41458,7682,455
1,,2023-05-11 15:36:41,100,49140,41574,7566,455
1,,2023-05-11 15:36:42,1,49140,41574,7566,455
1,,2023-05-11 15:36:43,100,49140,41574,7566,455
1,,2023-05-11 15:36:44,99,49140,41458,7682,455
1,,2023-05-11 15:36:45,100,49140,41458,7682,455
1,,2023-05-11 15:36:46,52,49140,41458,7682,455
1,,2023-05-11 15:36:47,54,49140,41458,7682,455
1,,2023-05-11 15:36:48,99,49140,41458,7682,455
1,,2023-05-11 15:36:49,100,49140,41458,7682,455
1,,2023-05-11 15:36:50,78,49140,41196,7944,455
1,,2023-05-11 15:36:51,15,49140,41196,7944,455
1,,2023-05-11 15:36:52,82,49140,40942,8198,455
1,,2023-05-11 15:36:53,99,49140,40942,8198,455
1,,2023-05-11 15:36:54,100,49140,40942,8198,455
1,,2023-05-11 15:36:55,68,49140,40942,8198,455
1,,2023-05-11 15:36:56,38,49140,40942,8198,455
1,,2023-05-11 15:36:57,99,49140,40942,8198,455
1,,2023-05-11 15:36:58,99,49140,40818,8322,455
1,,2023-05-11 15:36:59,100,49140,43870,5270,455
1,,2023-05-11 15:37:00,1,49140,44018,5122,455
1,,2023-05-11 15:37:01,99,49140,44018,5122,455
1,,2023-05-11 15:37:02,99,49140,44018,5122,455
1,,2023-05-11 15:37:03,100,49140,44018,5122,455
1,,2023-05-11 15:37:04,1,49140,44018,5122,455
1,,2023-05-11 15:37:05,98,49140,44018,5122,455
1,,2023-05-11 15:37:06,98,49140,44018,5122,455
1,,2023-05-11 15:37:07,100,49140,44018,5122,455
1,,2023-05-11 15:37:08,3,49140,44018,5122,455
1,,2023-05-11 15:37:09,100,49140,44018,5122,455
1,,2023-05-11 15:37:10,98,49140,44018,5122,455
1,,2023-05-11 15:37:11,100,49140,44018,5122,455
1,,2023-05-11 15:37:12,13,49140,44018,5122,455
1,,2023-05-11 15:37:13,91,49140,44018,5122,455
1,,2023-05-11 15:37:14,98,49140,44018,5122,455
1,,2023-05-11 15:37:15,100,49140,44018,5122,455
1,,2023-05-11 15:37:16,36,49140,44018,5122,455
1,,2023-05-11 15:37:17,82,49140,44018,5122,455
1,,2023-05-11 15:37:18,99,49140,44018,5122,455
1,,2023-05-11 15:37:19,100,49140,42974,6166,455
1,,2023-05-11 15:37:20,35,49140,42904,6236,455
1,,2023-05-11 15:37:21,70,49140,42904,6236,455
1,,2023-05-11 15:37:22,98,49140,42530,6610,455
1,,2023-05-11 15:37:23,99,49140,41482,7658,455
1,,2023-05-11 15:37:24,93,49140,38452,10688,455
1,,2023-05-11 15:37:25,16,49140,36574,12566,455
1,,2023-05-11 15:37:26,100,49140,36574,12566,455
1,,2023-05-11 15:37:27,99,49140,36052,13088,455
1,,2023-05-11 15:37:28,100,49140,35144,13996,455
1,,2023-05-11 15:37:29,1,49140,35144,13996,455
1,,2023-05-11 15:37:30,99,49140,34446,14694,455
1,,2023-05-11 15:37:31,99,49140,31704,17436,455
1,,2023-05-11 15:37:32,100,49140,31704,17436,455
1,,2023-05-11 15:37:33,1,49140,29922,19218,455
1,,2023-05-11 15:37:34,100,49140,29922,19218,455
1,,2023-05-11 15:37:35,98,49140,29922,19218,455
1,,2023-05-11 15:37:36,100,49140,29922,19218,455
1,,2023-05-11 15:37:37,2,49140,29922,19218,455
1,,2023-05-11 15:37:38,100,49140,29922,19218,455
1,,2023-05-11 15:37:39,99,49140,29922,19218,455
