device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),Memory not used by torch (MB)
0,,2023-05-11 14:27:35,0,49140,48176,964,455
0,,2023-05-11 14:27:36,0,49140,48176,964,455
0,,2023-05-11 14:27:37,0,49140,48176,964,455
0,,2023-05-11 14:27:38,0,49140,48176,964,455
0,,2023-05-11 14:27:39,0,49140,48176,964,455
0,,2023-05-11 14:27:40,0,49140,48176,964,455
0,,2023-05-11 14:27:41,0,49140,48176,964,455
0,,2023-05-11 14:27:42,0,49140,48176,964,455
0,,2023-05-11 14:27:43,0,49140,48176,964,455
0,,2023-05-11 14:27:44,0,49140,48176,964,455
0,,2023-05-11 14:27:45,0,49140,48176,964,455
0,,2023-05-11 14:27:46,0,49140,48176,964,455
0,,2023-05-11 14:27:47,0,49140,48176,964,455
0,,2023-05-11 14:27:48,0,49140,48176,964,455
0,,2023-05-11 14:27:49,0,49140,48176,964,455
0,,2023-05-11 14:27:50,0,49140,48176,964,455
0,,2023-05-11 14:27:51,0,49140,48176,964,455
0,,2023-05-11 14:27:52,0,49140,48176,964,455
0,,2023-05-11 14:27:53,0,49140,48176,964,455
0,,2023-05-11 14:27:54,0,49140,47800,1340,455
0,,2023-05-11 14:27:55,2,49140,47458,1682,455
0,,2023-05-11 14:27:56,0,49140,47400,1740,455
0,,2023-05-11 14:27:57,0,49140,47232,1908,455
0,,2023-05-11 14:27:58,0,49140,47222,1918,455
0,,2023-05-11 14:27:59,22,49140,46018,3122,455
0,,2023-05-11 14:28:00,22,49140,46018,3122,455
0,,2023-05-11 14:28:01,1,49140,46018,3122,455
0,,2023-05-11 14:28:02,0,49140,46018,3122,455
0,,2023-05-11 14:28:03,0,49140,46018,3122,455
0,,2023-05-11 14:28:04,22,49140,44836,4304,455
0,,2023-05-11 14:28:05,0,49140,44182,4958,455
0,,2023-05-11 14:28:06,21,49140,44182,4958,455
0,,2023-05-11 14:28:08,12,49140,44182,4958,455
0,,2023-05-11 14:28:09,1,49140,44182,4958,455
0,,2023-05-11 14:28:10,1,49140,44182,4958,455
0,,2023-05-11 14:28:11,0,49140,44182,4958,455
0,,2023-05-11 14:28:12,21,49140,44176,4964,455
0,,2023-05-11 14:28:13,1,49140,44176,4964,455
0,,2023-05-11 14:28:14,22,49140,44176,4964,455
0,,2023-05-11 14:28:15,22,49140,44176,4964,455
0,,2023-05-11 14:28:16,29,49140,44176,4964,455
0,,2023-05-11 14:28:17,0,49140,44176,4964,455
0,,2023-05-11 14:28:18,0,49140,44176,4964,455
0,,2023-05-11 14:28:19,22,49140,44176,4964,455
0,,2023-05-11 14:28:20,2,49140,44176,4964,455
0,,2023-05-11 14:28:21,11,49140,44176,4964,455
0,,2023-05-11 14:28:22,21,49140,44176,4964,455
0,,2023-05-11 14:28:23,0,49140,44176,4964,455
0,,2023-05-11 14:28:24,23,49140,44176,4964,455
0,,2023-05-11 14:28:25,10,49140,44176,4964,455
0,,2023-05-11 14:28:26,1,49140,44176,4964,455
0,,2023-05-11 14:28:27,20,49140,44176,4964,455
0,,2023-05-11 14:28:28,1,49140,44176,4964,455
0,,2023-05-11 14:28:29,22,49140,44176,4964,455
0,,2023-05-11 14:28:30,19,49140,44176,4964,455
0,,2023-05-11 14:28:31,25,49140,44176,4964,455
0,,2023-05-11 14:28:32,0,49140,44176,4964,455
0,,2023-05-11 14:28:33,0,49140,44176,4964,455
0,,2023-05-11 14:28:34,15,49140,44176,4964,455
0,,2023-05-11 14:28:35,22,49140,44176,4964,455
0,,2023-05-11 14:28:36,1,49140,44176,4964,455
0,,2023-05-11 14:28:37,22,49140,44176,4964,455
0,,2023-05-11 14:28:38,22,49140,44176,4964,455
0,,2023-05-11 14:28:39,1,49140,44176,4964,455
0,,2023-05-11 14:28:40,0,49140,44176,4964,455
0,,2023-05-11 14:28:41,4,49140,44176,4964,455
0,,2023-05-11 14:28:42,1,49140,44176,4964,455
0,,2023-05-11 14:28:43,22,49140,44176,4964,455
0,,2023-05-11 14:28:44,2,49140,44176,4964,455
0,,2023-05-11 14:28:45,1,49140,44176,4964,455
0,,2023-05-11 14:28:46,0,49140,44176,4964,455
0,,2023-05-11 14:28:47,0,49140,44176,4964,455
0,,2023-05-11 14:28:48,63,49140,44176,4964,455
0,,2023-05-11 14:28:49,0,49140,44176,4964,455
0,,2023-05-11 14:28:50,0,49140,44176,4964,455
0,,2023-05-11 14:28:51,16,49140,44176,4964,455
0,,2023-05-11 14:28:52,22,49140,44176,4964,455
0,,2023-05-11 14:28:53,21,49140,44176,4964,455
0,,2023-05-11 14:28:54,0,49140,44176,4964,455
