device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
4,,2023-05-16 13:50:27,0,81920,80403,1517,820
4,,2023-05-16 13:50:28,0,81920,80403,1517,820
4,,2023-05-16 13:50:29,0,81920,80403,1517,820
4,,2023-05-16 13:50:30,0,81920,80403,1517,820
4,,2023-05-16 13:50:31,0,81920,80403,1517,820
4,,2023-05-16 13:50:32,0,81920,80403,1517,820
4,,2023-05-16 13:50:33,0,81920,80403,1517,820
4,,2023-05-16 13:50:34,0,81920,80403,1517,820
4,,2023-05-16 13:50:35,0,81920,80403,1517,820
4,,2023-05-16 13:50:36,0,81920,80403,1517,820
4,,2023-05-16 13:50:37,0,81920,80403,1517,820
4,,2023-05-16 13:50:38,0,81920,80403,1517,820
4,,2023-05-16 13:50:39,0,81920,80259,1661,820
4,,2023-05-16 13:50:40,0,81920,78891,3029,820
4,,2023-05-16 13:50:41,0,81920,78891,3029,820
4,,2023-05-16 13:50:42,0,81920,78891,3029,820
4,,2023-05-16 13:50:43,0,81920,78887,3033,820
4,,2023-05-16 13:50:44,0,81920,78817,3103,820
4,,2023-05-16 13:50:45,0,81920,78815,3105,820
4,,2023-05-16 13:50:46,0,81920,78567,3353,820
4,,2023-05-16 13:50:47,0,81920,77355,4565,820
4,,2023-05-16 13:50:48,0,81920,77339,4581,820
4,,2023-05-16 13:50:49,0,81920,76605,5315,820
4,,2023-05-16 13:50:50,0,81920,76605,5315,820
4,,2023-05-16 13:50:51,0,81920,75529,6391,820
4,,2023-05-16 13:50:52,0,81920,74431,7489,820
4,,2023-05-16 13:50:53,0,81920,74431,7489,820
4,,2023-05-16 13:50:54,0,81920,74289,7631,820
4,,2023-05-16 13:50:55,0,81920,74289,7631,820
4,,2023-05-16 13:50:56,0,81920,73911,8009,820
4,,2023-05-16 13:50:57,0,81920,73911,8009,820
4,,2023-05-16 13:50:58,0,81920,74993,6927,820
4,,2023-05-16 13:50:59,0,81920,74039,7881,820
4,,2023-05-16 13:51:00,0,81920,75135,6785,820
4,,2023-05-16 13:51:01,0,81920,74445,7475,820
4,,2023-05-16 13:51:02,0,81920,74445,7475,820
4,,2023-05-16 13:51:03,0,81920,74445,7475,820
4,,2023-05-16 13:51:04,0,81920,74095,7825,820
4,,2023-05-16 13:51:05,0,81920,74095,7825,820
4,,2023-05-16 13:51:06,0,81920,74063,7857,820
4,,2023-05-16 13:51:07,0,81920,74063,7857,820
4,,2023-05-16 13:51:08,0,81920,74063,7857,820
4,,2023-05-16 13:51:09,0,81920,74063,7857,820
4,,2023-05-16 13:51:10,0,81920,74063,7857,820
4,,2023-05-16 13:51:11,0,81920,74063,7857,820
4,,2023-05-16 13:51:12,0,81920,74063,7857,820
4,,2023-05-16 13:51:13,0,81920,74063,7857,820
4,,2023-05-16 13:51:14,0,81920,74061,7859,820
4,,2023-05-16 13:51:15,0,81920,74061,7859,820
4,,2023-05-16 13:51:16,0,81920,74061,7859,820
4,,2023-05-16 13:51:17,0,81920,74061,7859,820
4,,2023-05-16 13:51:18,0,81920,74061,7859,820
4,,2023-05-16 13:51:19,0,81920,74061,7859,820
4,,2023-05-16 13:51:20,0,81920,75819,6101,820
4,,2023-05-16 13:51:21,0,81920,73701,8219,820
4,,2023-05-16 13:51:22,0,81920,73701,8219,820
